"COMMON.NAME","SCIENTIFIC.NAME"
"Large Niltava","Niltava grandis"
"Long-billed Thrush","Zoothera monticola"
"Long-tailed Thrush","Zoothera dixoni"
"Maroon Oriole","Oriolus traillii"
"Mountain Bulbul","Ixos mcclellandii"
"Mountain Hawk-Eagle","Nisaetus nipalensis"
"Nepal Fulvetta","Alcippe nipalensis"
"Orange-bellied Leafbird","Chloropsis hardwickii"
"Pale-rumped Warbler","Phylloscopus chloronotus"
"Plumbeous Redstart","Phoenicurus fuliginosus"
"Rufous-breasted Bush-Robin","Tarsiger hyperythrus"
"Red-billed Leiothrix","Leiothrix lutea"
"Red-faced Liocichla","Liocichla phoenicea"
"Red-headed Trogon","Harpactes erythrocephalus"
"Rufous-breasted Accentor","Prunella strophiata"
"Rufous-backed Sibia","Minla annectens"
"Rufous-capped Babbler","Cyanoderma ruficeps"
"Rusty-fronted Barwing","Actinodura egertoni"
"Rufous-gorgeted Flycatcher","Ficedula strophiata"
"Rufous-winged Fulvetta","Schoeniparus castaneceps"
"Slender-billed Scimitar-Babbler","Pomatorhinus superciliaris"
"Short-billed Minivet","Pericrocotus brevirostris"
"Slaty-backed Forktail","Enicurus schistaceus"
"Spot-breasted Parrotbill","Paradoxornis guttaticollis"
"Spotted Forktail","Enicurus maculatus"
"Striated Prinia","Prinia crinigera"
"Streaked Spiderhunter","Arachnothera magna"
"White-browed Scimitar-Babbler","Pomatorhinus schisticeps"
"White-browed Fulvetta","Fulvetta vinipectus"
"White-crested Laughingthrush","Garrulax leucolophus"
"White-capped Redstart","Phoenicurus leucocephalus"
"Whiskered Yuhina","Yuhina flavicollis"
"White-naped Yuhina","Yuhina bakeri"
"White-throated Bulbul","Alophoixus flaveolus"
"White-tailed Nuthatch","Sitta himalayensis"
"Great Myna","Acridotheres grandis"
"Yellow-cheeked Tit","Machlolophus spilonotus"
"Ashy Bulbul","Hemixos flavala"
"Bar-tailed Treecreeper","Certhia himalayana"
"Black-faced Warbler","Abroscopus schisticeps"
"Black-throated Tit","Aegithalos concinnus"
"Blue-winged Laughingthrush","Trochalopteron squamatum"
"Blue-winged Minla","Actinodura cyanouroptera"
"Blyth's Leaf Warbler","Phylloscopus reguloides"
"Brown Bullfinch","Pyrrhula nipalensis"
"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum"
"Chestnut-headed Tesia","Cettia castaneocoronata"
"Chestnut-tailed Minla","Actinodura strigula"
"Chestnut-vented Nuthatch","Sitta nagaensis"
"Collared Owlet","Glaucidium brodiei"
"Himalayan Cutia","Cutia nipalensis"
"Eurasian Jay","Garrulus glandarius"
"Gould's Sunbird","Aethopyga gouldiae"
"Gray-bellied Tesia","Tesia cyaniventer"
"Gray-crowned Warbler","Phylloscopus tephrocephalus"
"Hill Partridge","Arborophila torqueola"
"Himalayan Griffon","Gyps himalayensis"
"Himalayan Monal","Lophophorus impejanus"
"Himalayan Swiftlet","Aerodramus brevirostris"
"Koklass Pheasant","Pucrasia macrolopha"
"Plain Flowerpecker","Dicaeum minullum"
"Pygmy Flycatcher","Ficedula hodgsoni"
"Pygmy Cupwing","Pnoepyga pusilla"
"Rufous-bellied Niltava","Niltava sundara"
"Russet Bush Warbler","Locustella mandelli"
"Rufous-bellied Woodpecker","Dendrocopos hyperythrus"
"Rufous-headed Parrotbill","Psittiparus bakeri"
"Russet Sparrow","Passer cinnamomeus"
"Rufous-vented Yuhina","Yuhina occipitalis"
"Sapphire Flycatcher","Ficedula sapphira"
"Streak-breasted Scimitar-Babbler","Pomatorhinus ruficollis"
"Scaly-breasted Cupwing","Pnoepyga albiventer"
"Slaty-backed Flycatcher","Ficedula sordida"
"Slaty-blue Flycatcher","Ficedula tricolor"
"Small Niltava","Niltava macgrigoriae"
"Snowy-browed Flycatcher","Ficedula hyperythra"
"Spot-winged Grosbeak","Mycerobas melanozanthos"
"Ward's Trogon","Harpactes wardi"
"White-browed Bush-Robin","Tarsiger indicus"
"Wedge-tailed Pigeon","Treron sphenurus"
"White-bellied Erpornis","Erpornis zantholeuca"
"White-collared Blackbird","Turdus albocinctus"
"Whistler's Warbler","Phylloscopus whistleri"
"Yellow-browed Tit","Sylviparus modestus"
"Yellow-vented Warbler","Phylloscopus cantator"
"Yunnan Nuthatch","Sitta yunnanensis"
"Darjeeling Woodpecker","Dendrocopos darjellensis"
"Dark-sided Flycatcher","Muscicapa sibirica"
"Ferruginous Flycatcher","Muscicapa ferruginea"
"Yellow-billed Blue-Magpie","Urocissa flavirostris"
"Gray-winged Blackbird","Turdus boulboul"
"Hill Prinia","Prinia superciliaris"
"Lesser Coucal","Centropus bengalensis"
"Lesser Cuckoo","Cuculus poliocephalus"
"Long-tailed Minivet","Pericrocotus ethologus"
"Mountain Tailorbird","Phyllergates cucullatus"
"Red-tailed Minla","Minla ignotincta"
"Goldcrest","Regulus regulus"
"Gray-headed Bullfinch","Pyrrhula erythaca"
"Himalayan Bluetail","Tarsiger rufilatus"
"Hen Harrier","Circus cyaneus"
"Striated Bulbul","Pycnonotus striatus"
"Striated Laughingthrush","Grammatoptila striata"
"Bay Woodpecker","Blythipicus pyrrhotis"
"Collared Scops-Owl","Otus lettia"
"Eyebrowed Wren-Babbler","Napothera epilepidota"
"Gray Peacock-Pheasant","Polyplectron bicalcaratum"
"Gray-sided Laughingthrush","Ianthocincla caerulata"
"Himalayan Owl","Strix nivicolum"
"Lesser Shortwing","Brachypteryx leucophris"
"Mountain Scops-Owl","Otus spilocephalus"
"Pale Blue Flycatcher","Cyornis unicolor"
"Rosy Pipit","Anthus roseatus"
"Spotted Elachura","Elachura formosa"
"Sultan Tit","Melanochlora sultanea"
"White-browed Piculet","Sasia ochracea"
"White-gorgeted Flycatcher","Anthipes monileger"
"Aberrant Bush Warbler","Horornis flavolivaceus"
"Coral-billed Scimitar-Babbler","Pomatorhinus ferruginosus"
"Chevron-breasted Babbler","Stachyris roberti"
"Black-throated Thrush","Turdus atrogularis"
"Golden Eagle","Aquila chrysaetos"
"Red-throated Thrush","Turdus ruficollis"
"Rufous-faced Warbler","Abroscopus albogularis"
"Rufous-necked Hornbill","Aceros nipalensis"
"Striated Swallow","Cecropis striolata"
"Stripe-throated Yuhina","Yuhina gularis"
"White-backed Thrush","Turdus kessleri"
"White-spectacled Warbler","Phylloscopus intermedius"
"Yellow-bellied Warbler","Abroscopus superciliaris"
"Yellow-throated Fulvetta","Schoeniparus cinereus"
"Crimson-breasted Woodpecker","Dryobates cathpharius"
"Dark-rumped Rosefinch","Carpodacus edwardsii"
"Wallcreeper","Tichodroma muraria"
"Buff-chested Babbler","Cyanoderma ambiguum"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris"
"Crested Kingfisher","Megaceryle lugubris"
"Desert Wheatear","Oenanthe deserti"
"Eurasian Nutcracker","Nucifraga caryocatactes"
"Fire-tailed Myzornis","Myzornis pyrrhoura"
"Gold-naped Finch","Pyrrhoplectes epauletta"
"Little Forktail","Enicurus scouleri"
"Long-tailed Sibia","Heterophasia picaoides"
"Red Crossbill","Loxia curvirostra"
"Speckled Wood-Pigeon","Columba hodgsonii"
"Vivid Niltava","Niltava vivida"
"Eurasian Wren","Troglodytes troglodytes"
"Hume's Bush Warbler","Horornis brunnescens"
"Yellow-breasted Greenfinch","Chloris spinoides"
"Crimson-browed Finch","Carpodacus subhimachalus"
"Pale-headed Woodpecker","Gecinulus grantia"
"Slaty-bellied Tesia","Tesia olivea"
"Brown Dipper","Cinclus pallasii"
"Nepal House-Martin","Delichon nipalense"
"Northern Goshawk","Accipiter gentilis"
"Scaly Thrush","Zoothera dauma"
"Spot-breasted Laughingthrush","Garrulax merulinus"
"Black-backed Forktail","Enicurus immaculatus"
"Black-faced Laughingthrush","Trochalopteron affine"
"Crested Finchbill","Spizixos canifrons"
"Lesser Racket-tailed Drongo","Dicrurus remifer"
"Masked Finfoot","Heliopais personatus"
"Blue-winged Leafbird","Chloropsis cochinchinensis"
"Lineated Barbet","Psilopogon lineatus"
"Ludlow's Fulvetta","Alcippe ludlowi"
"Scarlet-backed Flowerpecker","Dicaeum cruentatum"
"Striated Grassbird","Megalurus palustris"
"White-crowned Forktail","Enicurus leschenaulti"
"Wreathed Hornbill","Rhyticeros undulatus"
"Black-breasted Thrush","Turdus dissimilis"
"Blossom-headed Parakeet","Psittacula roseata"
"Great Hornbill","Buceros bicornis"
"Lesser Necklaced Laughingthrush","Garrulax monileger"
"Long-tailed Broadbill","Psarisomus dalhousiae"
"Red-billed Blue-Magpie","Urocissa erythroryncha"
"Rufous-necked Laughingthrush","Ianthocincla ruficollis"
"Gray-bellied Wren-Babbler","Spelaeornis reptatus"
"Pied Falconet","Microhierax melanoleucos"
"Pin-tailed Pigeon","Treron apicauda"
"Common Merganser","Mergus merganser"
"Ibisbill","Ibidorhyncha struthersii"
"White-hooded Babbler","Gampsorhynchus rufulus"
"Blue-eared Barbet","Psilopogon duvaucelii"
"Blyth's Kingfisher","Alcedo hercules"
"Broad-billed Warbler","Tickellia hodgsoni"
"Brown Hornbill","Anorrhinus austeni"
"Green Cochoa","Cochoa viridis"
"Lesser Fish-Eagle","Haliaeetus humilis"
"Mountain Imperial-Pigeon","Ducula badia"
"White-bellied Heron","Ardea insignis"
"White-tailed Eagle","Haliaeetus albicilla"
"White-tailed Robin","Myiomela leucura"
"Barred Cuckoo-Dove","Macropygia unchall"
"Pale-billed Parrotbill","Chleuasicus atrosuperciliaris"
"Buff-breasted Babbler","Pellorneum tickelli"
"Chinese Rubythroat","Calliope tschebaiewi"
"Collared Treepie","Dendrocitta frontalis"
"Great Slaty Woodpecker","Mulleripicus pulverulentus"
"Kalij Pheasant","Lophura leucomelanos"
"Ashy-headed Green-Pigeon","Treron phayrei"
"Silver-breasted Broadbill","Serilophus lunatus"
"White-winged Duck","Asarcornis scutulata"
"Golden-crested Myna","Ampeliceps coronatus"
"Hill Blue Flycatcher","Cyornis banyumas"
"Blue-naped Pitta","Hydrornis nipalensis"
"Dark-necked Tailorbird","Orthotomus atrogularis"
"Dark-sided Thrush","Zoothera marginata"
"Spot-throated Babbler","Pellorneum albiventre"
"Beautiful Nuthatch","Sitta formosa"
"Chestnut-capped Babbler","Timalia pileata"
"Oriental Pied-Hornbill","Anthracoceros albirostris"
"Red-billed Scimitar-Babbler","Pomatorhinus ochraceiceps"
"Rusty-bellied Shortwing","Brachypteryx hyperythra"
"Rufous-throated Fulvetta","Schoeniparus rufogularis"
"Rufous-throated Partridge","Arborophila rufogularis"
"Snowy-throated Babbler","Stachyris oglei"
"Solitary Snipe","Gallinago solitaria"
"Spot-winged Starling","Saroglossa spilopterus"
"Streaked Wren-Babbler","Turdinus brevicaudatus"
"White-cheeked Partridge","Arborophila atrogularis"
"Ashy Wood-Pigeon","Columba pulchricollis"
"Gray-headed Parrotbill","Psittiparus gularis"
"Oriental Hobby","Falco severus"
"Rufous-vented Laughingthrush","Ianthocincla gularis"
"Slender-billed Vulture","Gyps tenuirostris"
"Streak-throated Barwing","Actinodura waldeni"
"White-browed Shortwing","Brachypteryx montana"
"Black-throated Parrotbill","Suthora nipalensis"
"Rufescent Prinia","Prinia rufescens"
"Chestnut-backed Laughingthrush","Ianthocincla nuchalis"
"Large Scimitar-Babbler","Megapomatorhinus hypoleucos"
"Purple Cochoa","Cochoa purpurea"
"Yellow-bellied Prinia","Prinia flaviventris"
"Northern Lapwing","Vanellus vanellus"
"Black Francolin","Francolinus francolinus"
"Crow-billed Drongo","Dicrurus annectens"
"Yellow-vented Flowerpecker","Dicaeum chrysorrheum"
"Hodgson's Frogmouth","Batrachostomus hodgsoni"
"Tibetan Serin","Spinus thibetanus"
"Silver-backed Needletail","Hirundapus cochinchinensis"
"Tristram's Bunting","Emberiza tristrami"
"White-tailed Flycatcher","Cyornis concretus"
"Little Pied Flycatcher","Ficedula westermanni"
"Chestnut Thrush","Turdus rubrocanus"
"Oriental Bay-Owl","Phodilus badius"
"Sand Lark","Alaudala raytal"
"Burmese Shrike","Lanius collurioides"
"Gray-headed Parakeet","Psittacula finschii"
"Chinese Thrush","Otocichla mupinensis"
"Long-billed Plover","Charadrius placidus"
"Black-necked Stork","Ephippiorhynchus asiaticus"
"Blyth's Tragopan","Tragopan blythii"
"Buff-barred Warbler","Phylloscopus pulcher"
"Mountain Bamboo-Partridge","Bambusicola fytchii"
"Scarlet Finch","Carpodacus sipahi"
"Bengal Bushlark","Mirafra assamica"
"Common Buzzard","Buteo buteo"
"Striated Babbler","Turdoides earlei"
"Asian House-Martin","Delichon dasypus"
"Golden-headed Cisticola","Cisticola exilis"
"Striped Laughingthrush","Trochalopteron virgatum"
"Himalayan Flameback","Dinopium shorii"
"Blue-fronted Robin","Cinclidium frontale"
"Bhutan Laughingthrush","Trochalopteron imbricatum"
"Golden-breasted Fulvetta","Lioparus chrysotis"
"Rufous-chinned Laughingthrush","Ianthocincla rufogularis"
"Black-throated Prinia","Prinia atrogularis"
"Tawny Fish-Owl","Ketupa flavipes"
"Fire-tailed Sunbird","Aethopyga ignicauda"
"White-throated Laughingthrush","Ianthocincla albogularis"
"Gray-headed Fish-Eagle","Haliaeetus ichthyaetus"
"Long-billed Wren-Babbler","Napothera malacoptila"
"Long-tailed Duck","Clangula hyemalis"
"Bengal Florican","Houbaropsis bengalensis"
"Black-breasted Parrotbill","Paradoxornis flavirostris"
"Jerdon's Babbler","Chrysomma altirostre"
"Mallard","Anas platyrhynchos"
"Swamp Francolin","Francolinus gularis"
"Swamp Prinia","Laticilla cinerascens"
"Marsh Babbler","Pellorneum palustre"
"Indian Grassbird","Graminicola bengalensis"
"Chestnut Munia","Lonchura atricapilla"
"Graceful Prinia","Prinia gracilis"
"Black-necked Crane","Grus nigricollis"
"Scaly Laughingthrush","Trochalopteron subunicolor"
"Rufous-throated Wren-Babbler","Spelaeornis caudatus"
"Black-tailed Crake","Zapornia bicolor"
"Red-headed Bullfinch","Pyrrhula erythrocephala"
"Himalayan Beautiful Rosefinch","Carpodacus pulcherrimus"
"Rusty-throated Wren-Babbler","Spelaeornis badeigularis"
"Streak-throated Fulvetta","Fulvetta manipurensis"
"Alpine Accentor","Prunella collaris"
"Brown Parrotbill","Cholornis unicolor"
"Chestnut-breasted Partridge","Arborophila mandellii"
"Spotted Laughingthrush","Ianthocincla ocellata"
"Yellow-bellied Flowerpecker","Dicaeum melanoxanthum"
"Australasian Grass-Owl","Tyto longimembris"
"Bar-winged Wren-Babbler","Spelaeornis troglodytoides"
"Chestnut-crowned Bush Warbler","Cettia major"
"Fulvous Parrotbill","Suthora fulvifrons"
"Graylag Goose","Anser anser"
"Gray-crested Tit","Lophophanes dichrous"
"Maroon-backed Accentor","Prunella immaculata"
"Red-headed Vulture","Sarcogyps calvus"
"Rusty-flanked Treecreeper","Certhia nipalensis"
"Rufous-vented Tit","Periparus rubidiventris"
"Gould's Shortwing","Brachypteryx stellata"
"Plain Mountain-Finch","Leucosticte nemoricola"
"Yellow-rumped Honeyguide","Indicator xanthonotus"
"Black-faced Bunting","Emberiza spodocephala"
"Chestnut Bunting","Emberiza rutila"
"Large Blue Flycatcher","Cyornis magnirostris"
"Dark-rumped Swift","Apus acuticauda"
"Sclater's Monal","Lophophorus sclateri"
"Chinese White-browed Rosefinch","Carpodacus dubius"
"Spot-breasted Scimitar-Babbler","Megapomatorhinus mcclellandi"
"Baikal Bush Warbler","Locustella davidi"
"Long-eared Owl","Asio otus"
"Gray-sided Thrush","Turdus feae"
"Dusky Thrush","Turdus eunomus"
"Eastern Marsh-Harrier","Circus spilonotus"
"Blood Pheasant","Ithaginis cruentus"
"Chestnut-flanked White-eye","Zosterops erythropleurus"
"Spotted Bush Warbler","Locustella thoracica"
"Blue-breasted Quail","Synoicus chinensis"
"Eurasian Crag-Martin","Ptyonoprogne rupestris"
"Rusty-capped Fulvetta","Schoeniparus dubius"
"White-breasted Parrotbill","Psittiparus ruficeps"
"Rufous Sibia","Heterophasia capistrata"
"Crested Tit-Warbler","Leptopoecile elegans"
"Hoary-throated Barwing","Actinodura nipalensis"
"Rusty-cheeked Scimitar-Babbler","Megapomatorhinus erythrogenys"
"Satyr Tragopan","Tragopan satyra"
"Snow Pigeon","Columba leuconota"
"Himalayan White-browed Rosefinch","Carpodacus thura"
"White-throated Dipper","Cinclus cinclus"
"White-throated Redstart","Phoenicurus schisticeps"
"Himalayan Accentor","Prunella himalayana"
"Upland Buzzard","Buteo hemilasius"
"Collared Grosbeak","Mycerobas affinis"
"Himalayan Bulbul","Pycnonotus leucogenys"
"White-winged Grosbeak","Mycerobas carnipes"
"Tibetan Blackbird","Turdus maximus"
"Bearded Vulture","Gypaetus barbatus"
"Red-billed Chough","Pyrrhocorax pyrrhocorax"
"Alpine Thrush","Zoothera mollissima"
"Elliot's Laughingthrush","Trochalopteron elliotii"
"European Starling","Sturnus vulgaris"
"Great Eared-Nightjar","Lyncornis macrotis"
"White-cheeked Starling","Spodiopsar cineraceus"
"Pallas's Fish-Eagle","Haliaeetus leucoryphus"
"Grandala","Grandala coelicolor"
"Fire-capped Tit","Cephalopyrus flammiceps"
"Temminck's Tragopan","Tragopan temminckii"
"Bugun Liocichla","Liocichla bugunorum"
"Blackish-breasted Babbler","Stachyris humei"
"Blanford's Rosefinch","Agraphospiza rubescens"
"Snow Partridge","Lerwa lerwa"
"Great Parrotbill","Conostoma aemodium"
"Black-headed Mountain-Finch","Leucosticte brandti"
"Eurasian Siskin","Spinus spinus"
"Northern Wheatear","Oenanthe oenanthe"
"Red-fronted Rosefinch","Carpodacus puniceus"
"Slender-billed Oriole","Oriolus tenuirostris"
"Himalayan Thrush","Zoothera salimalii"
"White-bellied Redstart","Luscinia phaenicuroides"
"Brown Bush Warbler","Locustella luteoventris"
"White-winged Redstart","Phoenicurus erythrogastrus"
"Little Owl","Athene noctua"
"Buff-throated Warbler","Phylloscopus subaffinis"
"White-browed Tit-Warbler","Leptopoecile sophiae"
"Yellow-billed Chough","Pyrrhocorax graculus"
"Naumann's Thrush","Turdus naumanni"
"Collared Falconet","Microhierax caerulescens"
"Slender-billed Babbler","Turdoides longirostris"
"Greater Adjutant","Leptoptilos dubius"
"Smoky Warbler","Phylloscopus fuligiventer"
"White-throated Bushchat","Saxicola insignis"
"Bristled Grassbird","Chaetornis striata"
"Cinereous Vulture","Aegypius monachus"
"Common Shelduck","Tadorna tadorna"
"Blunt-winged Warbler","Acrocephalus concinens"
"Brown-cheeked Rail","Rallus indicus"
"Hume's Lark","Calandrella acutirostris"
"Pacific Swift","Apus pacificus"
"Japanese Bush Warbler","Horornis diphone"
"Blue Pitta","Hydrornis cyaneus"
"Gray Sibia","Heterophasia gracilis"
"Black-headed Bulbul","Brachypodius atriceps"
"Common Crane","Grus grus"
"Imperial Eagle","Aquila heliaca"
"White-tailed Stonechat","Saxicola leucurus"
"Baer's Pochard","Aythya baeri"
"Falcated Duck","Mareca falcata"
"Marbled Teal","Marmaronetta angustirostris"
"Red Knot","Calidris canutus"
"Jerdon's Bushchat","Saxicola jerdoni"
"Smew","Mergellus albellus"
"Eastern Spot-billed Duck","Anas zonorhyncha"
"Dusky Eagle-Owl","Bubo coromandus"
"Greater Scaup","Aythya marila"
"Greater White-fronted Goose","Anser albifrons"
"Pale Sand Martin","Riparia diluta"
"Spotted Crake","Porzana porzana"
"Long-billed Dowitcher","Limnodromus scolopaceus"
"Eared Grebe","Podiceps nigricollis"
"Water Pipit","Anthus spinoletta"
"Cachar Bulbul","Iole cacharensis"
"Van Hasselt's Sunbird","Leptocoma brasiliana"
"Asian Stubtail","Urosphena squameiceps"
"Baikal Teal","Sibirionetta formosa"
"Red-flanked Bluetail","Tarsiger cyanurus"
"Assam Laughingthrush","Trochalopteron chrysopterum"
"Arctic Loon","Gavia arctica"
"Chinese Bush Warbler","Locustella tacsanowskia"
"Two-barred Warbler","Phylloscopus plumbeitarsus"
"Lesser White-fronted Goose","Anser erythropus"
"American Pipit","Anthus rubescens"
"Taiga Bean-Goose","Anser fabalis"
"White-browed Crake","Amaurornis cinerea"
"Indian Chat","Cercomela fusca"
"Japanese Quail","Coturnix japonica"
"Little Bittern","Ixobrychus minutus"
"Crested Lark","Galerida cristata"
"Pink-headed Duck","Rhodonessa caryophyllacea"
"Isabelline Shrike","Lanius isabellinus"
"White-eared Night-Heron","Gorsachius magnificus"
"White-tailed Lapwing","Vanellus leucurus"
"Slaty-headed Parakeet","Psittacula himalayana"
"Desert Whitethroat","Sylvia minula"
"Sind Sparrow","Passer pyrrhonotus"
"Chestnut-breasted Bunting","Emberiza stewarti"
"Variable Wheatear","Oenanthe picata"
"Blue-capped Redstart","Phoenicurus coeruleocephala"
"White-bellied Woodpecker","Dryocopus javensis"
"White-bellied Minivet","Pericrocotus erythropygius"
"Common House-Martin","Delichon urbicum"
"Singing Bushlark","Mirafra cantillans"
"Dalmatian Pelican","Pelecanus crispus"
"Red-necked Phalarope","Phalaropus lobatus"
"Blue-cheeked Bee-eater","Merops persicus"
"Mew Gull","Larus canus"
"White-eared Bulbul","Pycnonotus leucotis"
"Spanish Sparrow","Passer hispaniolensis"
"Greater Whitethroat","Sylvia communis"
"Brooks's Leaf Warbler","Phylloscopus subviridis"
"Moustached Warbler","Acrocephalus melanopogon"
"Eurasian Skylark","Alauda arvensis"
"White-browed Bushchat","Saxicola macrorhynchus"
"Pallid Scops-Owl","Otus brucei"
"Red-tailed Shrike","Lanius phoenicuroides"
"Pin-tailed Sandgrouse","Pterocles alchata"
"Vigors's Sunbird","Aethopyga vigorsii"
"Malabar Lark","Galerida malabarica"
"Indian Swiftlet","Aerodramus unicolor"
"Malabar Woodshrike","Tephrodornis sylvicola"
"White-bellied Blue Flycatcher","Cyornis pallidipes"
"Flame-throated Bulbul","Rubigula gularis"
"Crimson-backed Sunbird","Leptocoma minima"
"Malabar Gray Hornbill","Ocyceros griseus"
"Malabar Starling","Sturnia blythii"
"Nilgiri Flowerpecker","Dicaeum concolor"
"Orange Minivet","Pericrocotus flammeus"
"Dark-fronted Babbler","Rhopocichla atriceps"
"Nilgiri Wood-Pigeon","Columba elphinstonii"
"Brown Booby","Sula leucogaster"
"Gray-headed Bulbul","Brachypodius priocephalus"
"Buff-breasted Sandpiper","Calidris subruficollis"
"Sri Lanka Frogmouth","Batrachostomus moniliger"
"Common Swift","Apus apus"
"Pied Wheatear","Oenanthe pleschanka"
"White-cheeked Tern","Sterna repressa"
"Parasitic Jaeger","Stercorarius parasiticus"
"Pomarine Jaeger","Stercorarius pomarinus"
"Square-tailed Bulbul","Hypsipetes ganeesa"
"Black-legged Kittiwake","Rissa tridactyla"
"Malabar Barbet","Psilopogon malabaricus"
"Sooty Gull","Ichthyaetus hemprichii"
"Malabar Parakeet","Psittacula columboides"
"Wilson's Storm-Petrel","Oceanites oceanicus"
"Franklin's Gull","Leucophaeus pipixcan"
"Common Flameback","Dinopium javanense"
"Persian Shearwater","Puffinus persicus"
"Rufous Babbler","Turdoides subrufa"
"Bimaculated Lark","Melanocorypha bimaculata"
"Flesh-footed Shearwater","Ardenna carneipes"
"Swinhoe's Storm-Petrel","Oceanodroma monorhis"
"Legge's Hawk-Eagle","Nisaetus kelaarti"
"Red-billed Tropicbird","Phaethon aethereus"
"Sri Lanka Bay-Owl","Phodilus assimilis"
"Himalayan Black-lored Tit","Machlolophus xanthogenys"
"White-bellied Treepie","Dendrocitta leucogastra"
"Wynaad Laughingthrush","Ianthocincla delesserti"
"Spotted Flycatcher","Muscicapa striata"
"Collared Pratincole","Glareola pratincola"
"Black Tern","Chlidonias niger"
"Striolated Bunting","Emberiza striolata"
"Caspian Gull","Larus cachinnans"
"Red-backed Shrike","Lanius collurio"
"Sykes's Nightjar","Caprimulgus mahrattensis"
"Short-tailed Shearwater","Ardenna tenuirostris"
"Cream-colored Courser","Cursorius cursor"
"Asian Desert Warbler","Sylvia nana"
"Little Crake","Zapornia parva"
"Eurasian Scops-Owl","Otus scops"
"Rufous-tailed Scrub-Robin","Cercotrichas galactotes"
"Macqueen's Bustard","Chlamydotis macqueenii"
"Red-tailed Wheatear","Oenanthe xanthoprymna"
"Rufous-tailed Rock-Thrush","Monticola saxatilis"
"Forest Owlet","Athene blewitti"
"Large-billed Reed Warbler","Acrocephalus orinus"
"Common Redstart","Phoenicurus phoenicurus"
"Saunders's Tern","Sternula saundersi"
"Hypocolius","Hypocolius ampelinus"
"Namaqua Dove","Oena capensis"
"Tundra Swan","Cygnus columbianus"
"European Golden-Plover","Pluvialis apricaria"
"Greater Hoopoe-Lark","Alaemon alaudipes"
"Merlin","Falco columbarius"
"Pale Rockfinch","Carpospiza brachydactyla"
"Trumpeter Finch","Bucanetes githagineus"
"Desert Lark","Ammomanes deserti"
"Eurasian Nightjar","Caprimulgus europaeus"
"Spotted Sandgrouse","Pterocles senegallus"
"Black-crowned Sparrow-Lark","Eremopterix nigriceps"
"Red-necked Grebe","Podiceps grisegena"
"Jouanin's Petrel","Bulweria fallax"
"Kashmir Flycatcher","Ficedula subrubra"
"Tropical Shearwater","Puffinus bailloni"
"Masked Shrike","Lanius nubicus"
"Black-throated Accentor","Prunella atrogularis"
"Brown-fronted Woodpecker","Dendrocoptes auriceps"
"Rock Bunting","Emberiza cia"
"Black-chinned Babbler","Cyanoderma pyrrhops"
"Streaked Laughingthrush","Trochalopteron lineatum"
"Black-headed Jay","Garrulus lanceolatus"
"Himalayan Woodpecker","Dendrocopos himalayensis"
"Fire-fronted Serin","Serinus pusillus"
"Horned Lark","Eremophila alpestris"
"Scaly-bellied Woodpecker","Picus squamatus"
"Black-breasted Tit","Periparus rufonuchalis"
"Variegated Laughingthrush","Trochalopteron variegatum"
"Black-and-yellow Grosbeak","Mycerobas icterioides"
"Pink-browed Rosefinch","Carpodacus rodochroa"
"Himalayan Shrike-Babbler","Pteruthius ripleyi"
"Cheer Pheasant","Catreus wallichii"
"European Goldfinch","Carduelis carduelis"
"Mistle Thrush","Turdus viscivorus"
"Upland Pipit","Anthus sylvanus"
"White-cheeked Nuthatch","Sitta leucopsis"
"Chukar","Alectoris chukar"
"Common Wood-Pigeon","Columba palumbus"
"Common Raven","Corvus corax"
"Hill Pigeon","Columba rupestris"
"Himalayan Rubythroat","Calliope pectoralis"
"Orange Bullfinch","Pyrrhula aurantiaca"
"White-throated Tit","Aegithalos niveogularis"
"Pine Bunting","Emberiza leucocephalos"
"Eurasian Linnet","Linaria cannabina"
"Common Chaffinch","Fringilla coelebs"
"Himalayan Snowcock","Tetraogallus himalayensis"
"Immaculate Cupwing","Pnoepyga immaculata"
"Little Gull","Hydrocoloeus minutus"
"Brambling","Fringilla montifringilla"
"Spectacled Finch","Callacanthis burtoni"
"Whooper Swan","Cygnus cygnus"
"Yellowhammer","Emberiza citrinella"
"Red-breasted Goose","Branta ruficollis"
"Mountain Chiffchaff","Phylloscopus sindianus"
"Cetti's Warbler","Cettia cetti"
"White-crowned Penduline-Tit","Remiz coronatus"
"Blyth's Rosefinch","Carpodacus grandis"
"Robin Accentor","Prunella rubeculoides"
"Brown Accentor","Prunella fulvescens"
"Western Tragopan","Tragopan melanocephalus"
"Great Rosefinch","Carpodacus rubicilla"
"Twite","Linaria flavirostris"
"Black-winged Snowfinch","Montifringilla adamsi"
"West Himalayan Bush Warbler","Locustella kashmirensis"
"Boreal Owl","Aegolius funereus"
"Tibetan Sandgrouse","Syrrhaptes tibetanus"
"Vinaceous Rosefinch","Carpodacus vinaceus"
"Rufous-backed Redstart","Phoenicurus erythronotus"
"Bohemian Waxwing","Bombycilla garrulus"
"Corn Crake","Crex crex"
"Kashmir Nutcracker","Nucifraga multipunctata"
"Tawny Owl","Strix aluco"
"Lesser Short-toed Lark","Alaudala rufescens"
"Song Thrush","Turdus philomelos"
"Sociable Lapwing","Vanellus gregarius"
