"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Subcontinental Endemics","Himalayan/NE Near-Endemics","Significant - Indian Context","Not Relevant - Indian Context","Diurnal","Selected - SOIB"
"Manchurian Bush Warbler","Horornis canturians","","","","","","","X",""
"Brownish-flanked Bush Warbler","Horornis fortipes","X","X","","","","","X","X"
"Hume's Bush Warbler","Horornis brunnescens","","","","X","","","X","X"
"Aberrant Bush Warbler","Horornis flavolivaceus","","X","","","X","","X","X"
"Wood Warbler","Phylloscopus sibilatrix","","","","","","X","X",""
"Ashy-throated Warbler","Phylloscopus maculipennis","X","X","","","X","","X","X"
"Buff-barred Warbler","Phylloscopus pulcher","X","X","","","","","X","X"
"Yellow-browed Warbler","Phylloscopus inornatus","","X","","","","","X","X"
"Hume's Leaf Warbler","Phylloscopus humei","X","X","","","X","","X","X"
"Brooks's Leaf Warbler","Phylloscopus subviridis","","","","","X","","X","X"
"Chinese Leaf Warbler","Phylloscopus yunnanensis","","","","","","X","X",""
"Lemon-rumped Warbler","Phylloscopus chloronotus","X","X","","","X","","X","X"
"Tytler's Leaf Warbler","Phylloscopus tytleri","","X","","","X","","X","X"
"Sulphur-bellied Warbler","Phylloscopus griseolus","X","X","","","X","","X","X"
"Tickell's Leaf Warbler","Phylloscopus affinis","X","X","","","X","","X","X"
"Dusky Warbler","Phylloscopus fuscatus","","X","","","","","X","X"
"Smoky Warbler","Phylloscopus fuligiventer","","","","","X","","X","X"
"Plain Leaf Warbler","Phylloscopus neglectus","","","","","","X","X",""
"Buff-throated Warbler","Phylloscopus subaffinis","","","","","","X","X",""
"Kashmir Chiffchaff","Phylloscopus sindianus","","","","","X","","X","X"
"Common Chiffchaff","Phylloscopus collybita","X","X","","","","","X","X"
"White-spectacled Warbler","Phylloscopus intermedius","","X","","","","","X","X"
"Grey-cheeked Warbler","Phylloscopus poliogenys","","X","","","X","","X","X"
"Green-crowned Warbler","Phylloscopus burkii","","","","","X","","X","X"
"Grey-crowned Warbler","Phylloscopus tephrocephalus","","","","","","","X",""
"Whistler's Warbler","Phylloscopus whistleri","X","X","","","X","","X","X"
"Green Leaf Warbler","Phylloscopus nitidus","","","","","X","","X","X"
"Greenish Leaf Warbler","Phylloscopus trochiloides","X","X","","","X","","X","X"
"Two-barred Leaf Warbler","Phylloscopus plumbeitarsus","","","","","","X","X",""
"Large-billed Leaf Warbler","Phylloscopus magnirostris","X","X","","","X","","X","X"
"Pale-legged Leaf Warbler","Phylloscopus tenellipes","","","","","","X","X",""
"Arctic Warbler","Phylloscopus borealis","","","","","","X","X",""
"Chestnut-crowned Warbler","Phylloscopus castaniceps","","X","","","","","X","X"
"Yellow-vented Leaf Warbler","Phylloscopus cantator","","","","X","X","","X","X"
"Western Crowned Leaf Warbler","Phylloscopus occipitalis","X","X","","","X","","X","X"
"Blyth's Leaf Warbler","Phylloscopus reguloides","X","X","","","","","X","X"
"Claudia's Leaf Warbler","Phylloscopus claudiae","","","","","","X","X",""
"Grey-hooded Leaf Warbler","Phylloscopus xanthoschistos","X","X","","X","","","X","X"
"Thick-billed Warbler","Arundinax aedon","","X","","","","","X","X"
"Booted Warbler","Iduna caligata","X","X","","","X","","X","X"
"Sykes's Warbler","Iduna rama","","","","","X","","X","X"
"Black-browed Reed Warbler","Acrocephalus bistrigiceps","","","","","","X","X",""
"Moustached Warbler","Acrocephalus melanopogon","","","","","","","X",""
"Sedge Warbler","Acrocephalus schoenobaenus","","","","","","X","X",""
"Paddyfield Warbler","Acrocephalus agricola","X","X","","","","","","X"
"Blunt-winged Warbler","Acrocephalus concinens","","","","","","","X",""
"Blyth's Reed Warbler","Acrocephalus dumetorum","X","X","","","X","","X","X"
"Large-billed Reed Warbler","Acrocephalus orinus","","","","","","X","X",""
"Great Reed Warbler","Acrocephalus arundinaceus","","","","","","X","X",""
"Oriental Reed Warbler","Acrocephalus orientalis","","","","","","X","X",""
"Clamorous Reed Warbler","Acrocephalus stentoreus","X","X","","","","","X","X"
"Striated Grassbird","Megalurus palustris","","X","","","","","X","X"
"Broad-tailed Grassbird","Schoenicola platyurus","","","X","","","","X","X"
"Rusty-rumped Warbler","Locustella certhiola","","","","","","","X",""
"Lanceolated Warbler","Locustella lanceolata","","","","","","X","X",""
"Brown Bush Warbler","Locustella luteoventris","","","","","","","X",""
"Chinese Bush Warbler","Locustella tacsanowskia","","","","","","X","X",""
"Long-billed Bush Warbler","Locustella major","","","","","","X","X",""
"Grasshopper Warbler","Locustella naevia","","","","","","","X",""
"Baikal Bush Warbler","Locustella davidi","","","","","","","X",""
"West Himalayan Bush Warbler","Locustella kashmirensis","","","","X","","","X","X"
"Spotted Bush Warbler","Locustella thoracica","","","","","X","","X","X"
"Russet Bush Warbler","Locustella mandelli","","","","","","","X",""
"Bristled Grassbird","Chaetornis striata","","","X","","","","X","X"
"Common Tailorbird","Orthotomus sutorius","X","X","","","","","X","X"
"Dark-necked Tailorbird","Orthotomus atrogularis","","","","","","","X",""
"Striated Prinia","Prinia crinigera","X","X","","","","","X","X"
"Black-throated Prinia","Prinia atrogularis","","","","X","","","X","X"
"Hill Prinia","Prinia superciliaris","","","","","","X","X",""
"Grey-crowned Prinia","Prinia cinereocapilla","","","X","X","","","X","X"
"Rufous-fronted Prinia","Prinia buchanani","X","X","X","","","","X","X"
"Rufescent Prinia","Prinia rufescens","","","","","","","X",""
"Grey-breasted Prinia","Prinia hodgsonii","X","X","","","","","X","X"
"Graceful Prinia","Prinia gracilis","","X","","","X","","X","X"
"Jungle Prinia","Prinia sylvatica","X","X","X","","","","X","X"
"Yellow-bellied Prinia","Prinia flaviventris","","X","","","","","X","X"
"Ashy Prinia","Prinia socialis","X","X","X","","","","X","X"
"Plain Prinia","Prinia inornata","X","X","","","","","X","X"
"Zitting Cisticola","Cisticola juncidis","X","X","","","","","X","X"
"Golden-headed Cisticola","Cisticola exilis","","","","","X","","X","X"
"Garden Warbler","Sylvia borin","","","","","","X","X",""
"Asian Desert Warbler","Sylvia nana","","","","","","","X",""
"Barred Warbler","Sylvia nisoria","","","","","","X","X",""
"Lesser Whitethroat","Sylvia curruca","X","X","","","X","","X","X"
"Eastern Orphean Warbler","Sylvia crassirostris","","X","","","X","","X","X"
"Common Whitethroat","Sylvia communis","","","","","","","X",""
"Fire-tailed Myzornis","Myzornis pyrrhoura","","X","","X","","","X","X"
"Golden-breasted Fulvetta","Lioparus chrysotis","","","","","","","X",""
"Yellow-eyed Babbler","Chrysomma sinense","X","X","","","","","X","X"
"Jerdon's Babbler","Chrysomma altirostre","","","","","X","","X","X"
"White-browed Fulvetta","Fulvetta vinipectus","","","","","X","","X","X"
"Manipur Fulvetta","Fulvetta manipurensis","","","","","","","X",""
"Great Parrotbill","Conostoma aemodium","","","","","","","X",""
"Brown Parrotbill","Cholornis unicolor","","","","","","","X",""
"Grey-headed Parrotbill","Psittiparus gularis","","","","","","","X",""
"White-breasted Parrotbill","Psittiparus ruficeps","","","","X","","","X","X"
"Rufous-headed Parrotbill","Psittiparus bakeri","","","","","","","X",""
"Black-breasted Parrotbill","Paradoxornis flavirostris","","","X","","","","X","X"
"Spot-breasted Parrotbill","Paradoxornis guttaticollis","","","","","","","X",""
"Lesser Rufous-headed Parrotbill","Chleuasicus atrosuperciliaris","","","","","X","","X","X"
"Fulvous Parrotbill","Suthora fulvifrons","","","","","","","X",""
"Black-throated Parrotbill","Suthora nipalensis","","","","","X","","X","X"
"Striated Yuhina","Yuhina castaniceps","","","","","X","","X","X"
"White-naped Yuhina","Yuhina bakeri","","","","X","","","X","X"
"Whiskered Yuhina","Yuhina flavicollis","X","X","","","","","X","X"
"Stripe-throated Yuhina","Yuhina gularis","","X","","","X","","X","X"
"Rufous-vented Yuhina","Yuhina occipitalis","","","","X","","","X","X"
"Black-chinned Yuhina","Yuhina nigrimenta","","X","","","","","X","X"
"Chestnut-flanked White-eye","Zosterops erythropleurus","","","","","","X","X",""
"Oriental White-eye","Zosterops palpebrosus","X","X","","","","","X","X"
"Chestnut-capped Babbler","Timalia pileata","","X","","","","","X","X"
"Pin-striped Tit Babbler","Mixornis gularis","X","X","","","","","X","X"
"Tawny-bellied Babbler","Dumetia hyperythra","X","X","X","","","","X","X"
"Dark-fronted Babbler","Rhopocichla atriceps","X","X","X","","","","X","X"
"Golden Babbler","Cyanoderma chrysaeum","","X","","","","","X","X"
"Black-chinned Babbler","Cyanoderma pyrrhops","X","X","","X","","","X","X"
"Rufous-capped Babbler","Cyanoderma ruficeps","","X","","","","","X","X"
"Buff-chested Babbler","Cyanoderma ambiguum","","","","","X","","X","X"
"Rufous-throated Wren Babbler","Spelaeornis caudatus","","","X","X","","","X","X"
"Mishmi Wren Babbler","Spelaeornis badeigularis","","","X","X","","","X","X"
"Bar-winged Wren Babbler","Spelaeornis troglodytoides","","","","","X","","X","X"
"Naga Wren Babbler","Spelaeornis chocolatinus","","","X","X","","","X","X"
"Chin Hills Wren Babbler","Spelaeornis oatesi","","","","","","","X",""
"Grey-bellied Wren Babbler","Spelaeornis reptatus","","","","","","X","X",""
"Tawny-breasted Wren Babbler","Spelaeornis longicaudatus","","","X","X","","","X","X"
"Red-billed Scimitar Babbler","Pomatorhinus ochraceiceps","","","","","","","X",""
"Coral-billed Scimitar Babbler","Pomatorhinus ferruginosus","","","","","","","X",""
"Slender-billed Scimitar Babbler","Pomatorhinus superciliaris","","","","","X","","X","X"
"Streak-breasted Scimitar Babbler","Pomatorhinus ruficollis","","X","","","","","X","X"
"Indian Scimitar Babbler","Pomatorhinus horsfieldii","X","X","X","","","","X","X"
"White-browed Scimitar Babbler","Pomatorhinus schisticeps","","X","","","","","X","X"
"Large Scimitar Babbler","Erythrogenys hypoleucos","","","","","","","X",""
"Rusty-cheeked Scimitar Babbler","Erythrogenys erythrogenys","X","X","","","X","","X","X"
"Spot-breasted Scimitar Babbler","Erythrogenys mcclellandi","","","","X","","","X","X"
"Grey-throated Babbler","Stachyris nigriceps","","","","","","","X",""
"Snowy-throated Babbler","Stachyris oglei","","","","X","","","X","X"
"Sikkim Wedge-billed Babbler","Stachyris humei","","","","X","","","X","X"
"Cachar Wedge-billed Babbler","Stachyris roberti","","","","X","","","X","X"
"White-hooded Babbler","Gampsorhynchus rufulus","","X","","","X","","X","X"
"Yellow-throated Fulvetta","Schoeniparus cinereus","","","","X","","","X","X"
"Rufous-winged Fulvetta","Schoeniparus castaneceps","","","","","","","X",""
"Rufous-throated Fulvetta","Schoeniparus rufogularis","","","","","X","","X","X"
"Rusty-capped Fulvetta","Schoeniparus dubius","","","","","","","X",""
"Rufous-vented Grass Babbler","Laticilla burnesii","","","X","","","","X","X"
"Swamp Grass Babbler","Laticilla cinerascens","","","X","","","","X","X"
"Puff-throated Babbler","Pellorneum ruficeps","X","X","","","","","X","X"
"Marsh Babbler","Pellorneum palustre","","","X","","","","X","X"
"Spot-throated Babbler","Pellorneum albiventre","","","","","","","X",""
"Buff-breasted Babbler","Trichastoma tickelli","","","","","","","X",""
"Eyebrowed Wren Babbler","Napothera epilepidota","","","","","","","X",""
"Long-billed Wren Babbler","Rimator malacoptilus","","","","X","","","X","X"
"Abbott's Babbler","Malacocincla abbotti","","X","","","","","X","X"
"Streaked Wren Babbler","Turdinus brevicaudatus","","","","","","","X",""
"Indian Grass Babbler","Graminicola bengalensis","","","X","","","","X","X"
"Ludlow's Fulvetta","Fulvetta ludlowi","","X","","X","","","X","X"
"Quaker Tit Babbler","Alcippe poioicephala","X","X","","","X","","X","X"
"Nepal Tit Babbler","Alcippe nipalensis","","X","","","X","","X","X"
"Striated Laughingthrush","Grammatoptila striata","X","X","","X","","","X","X"
"Himalayan Cutia","Cutia nipalensis","","","","","X","","X","X"
"Common Babbler","Argya caudata","X","X","X","","","","X","X"
"Striated Babbler","Argya earlei","","X","","","X","","X","X"
"Slender-billed Babbler","Chatarrhaea longirostris","","","X","","","","X","X"
"Large Grey Babbler","Argya malcolmi","X","X","X","","","","X","X"
"Rufous Babbler","Argya subrufa","X","X","X","","","","X","X"
"Jungle Babbler","Turdoides striata","X","X","X","","","","X","X"
"Yellow-billed Babbler","Turdoides affinis","X","X","X","","","","X","X"
"White-crested Laughingthrush","Garrulax leucolophus","X","X","","","","","X","X"
"Lesser Necklaced Laughingthrush","Garrulax monileger","","X","","","","","X","X"
"Spot-breasted Laughingthrush","Garrulax merulinus","","","","X","","","X","X"
"Moustached Laughingthrush","Garrulax cineraceus","","","","X","","","X","X"
"Rufous-chinned Laughingthrush","Garrulax rufogularis","","X","","X","","","X","X"
"Spotted Laughingthrush","Garrulax ocellatus","","","","","","","X",""
"Greater Necklaced Laughingthrush","Garrulax pectoralis","","X","","","","","X","X"
"White-throated Laughingthrush","Garrulax albogularis","X","X","","","","","X","X"
"Rufous-necked Laughingthrush","Garrulax ruficollis","","X","","","X","","X","X"
"Chestnut-backed Laughingthrush","Garrulax nuchalis","","","","X","","","X","X"
"Yellow-throated Laughingthrush","Garrulax galbanus","","","","X","","","X","X"
"Wayanad Laughingthrush","Garrulax delesserti","","","X","","","","X","X"
"Rufous-vented Laughingthrush","Garrulax gularis","","","","X","","","X","X"
"Grey-sided Laughingthrush","Garrulax caerulatus","X","X","","X","","","X","X"
"White-browed Laughingthrush","Garrulax sannio","","","","","","","X",""
"Mount Victoria Babax","Ianthocincla woodi","","","","","","X","X",""
"Streaked Laughingthrush","Trochalopteron lineatum","X","X","","X","","","X","X"
"Bhutan Laughingthrush","Trochalopteron imbricatum","","X","","X","","","X","X"
"Striped Laughingthrush","Trochalopteron virgatum","","","","X","","","X","X"
"Scaly Laughingthrush","Trochalopteron subunicolor","","X","","","X","","X","X"
"Brown-capped Laughingthrush","Trochalopteron austeni","","","","X","","","X","X"
"Blue-winged Laughingthrush","Trochalopteron squamatum","","","","X","","","X","X"
"Elliot's Laughingthrush","Trochalopteron elliotii","","","","","","X","X",""
"Variegated Laughingthrush","Trochalopteron variegatum","","X","","X","","","X","X"
"Black-faced Laughingthrush","Trochalopteron affine","","","","","","","X",""
"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum","X","X","","X","","","X","X"
"Assam Laughingthrush","Trochalopteron chrysopterum","","","","X","","","X","X"
"Banasura Laughingthrush","Montecincla jerdoni","","","X","","","","X","X"
"Nilgiri Laughingthrush","Montecincla cachinnans","X","X","X","","","","X","X"
"Palani Laughingthrush","Montecincla fairbanki","X","X","X","","","","X","X"
"Ashambu Laughingthrush","Montecincla meridionalis","","","X","","","","X","X"
"Rufous Sibia","Heterophasia capistrata","X","X","","X","","","X","X"
"Grey Sibia","Heterophasia gracilis","","","","X","","","X","X"
"Beautiful Sibia","Heterophasia pulchella","","","","X","","","X","X"
"Long-tailed Sibia","Heterophasia picaoides","","","","","","","X",""
"Silver-eared Mesia","Leiothrix argentauris","","X","","","","","X","X"
"Red-billed Leiothrix","Leiothrix lutea","X","X","","","","","X","X"
"Red-tailed Minla","Minla ignotincta","","","","","X","","X","X"
"Rufous-backed Sibia","Leioptila annectens","","","","","X","","X","X"
"Bugun Liocichla","Liocichla bugunorum","","","X","X","","","X","X"
"Red-faced Liocichla","Liocichla phoenicea","","X","","","X","","X","X"
"Hoary-throated Barwing","Sibia nipalensis","","X","","X","","","X","X"
"Streak-throated Barwing","Sibia waldeni","","X","","X","","","X","X"
"Rusty-fronted Barwing","Actinodura egertoni","","X","","X","","","X","X"
"Blue-winged Minla","Siva cyanouroptera","","X","","","","","X","X"
"Chestnut-tailed Minla","Chrysominla strigula","X","X","","","X","","X","X"
"Asian Fairy-bluebird","Irena puella","X","X","","","X","","X","X"
"Dark-sided Flycatcher","Muscicapa sibirica","X","X","","","","","X","X"
"Ferruginous Flycatcher","Muscicapa ferruginea","","","","","","","X",""
"Asian Brown Flycatcher","Muscicapa dauurica","X","X","","","","","X","X"
"Brown-breasted Flycatcher","Muscicapa muttui","X","X","","","X","","X","X"
"Spotted Flycatcher","Muscicapa striata","","","","","","","X",""
"Rufous-tailed Scrub Robin","Cercotrichas galactotes","","","","","","","X",""
"Indian Robin","Saxicoloides fulicatus","X","X","X","","","","X","X"
"Oriental Magpie Robin","Copsychus saularis","X","X","","","","","X","X"
"White-rumped Shama","Kittacincla malabarica","X","X","","","","","X","X"
"Andaman Shama","Kittacincla albiventris","","X","X","","","","X","X"
"White-gorgeted Flycatcher","Anthipes monileger","","","","","X","","X","X"
"Nilgiri Sholakili","Sholicola major","","X","X","","","","X","X"
"White-bellied Sholakili","Sholicola albiventris","X","X","X","","","","X","X"
"White-tailed Blue Flycatcher","Cyornis concretus","","","","","","","X",""
"White-bellied Blue Flycatcher","Cyornis pallidipes","X","X","X","","","","X","X"
"Pale-chinned Flycatcher","Cyornis poliogenys","","X","","","X","","X","X"
"Pale Blue Flycatcher","Cyornis unicolor","","","","","","","X",""
"Blue-throated Flycatcher","Cyornis rubeculoides","X","X","","","X","","X","X"
"Large Blue Flycatcher","Cyornis magnirostris","","","","","X","","X","X"
"Hill Blue Flycatcher","Cyornis banyumas","","","","","","","X",""
"Tickell's Blue Flycatcher","Cyornis tickelliae","X","X","X","","","","X","X"
"Nicobar Jungle Flycatcher","Cyornis nicobaricus","","","X","","","","X","X"
"Large Niltava","Niltava grandis","","X","","","","","X","X"
"Small Niltava","Niltava macgrigoriae","X","X","","","X","","X","X"
"Rufous-bellied Niltava","Niltava sundara","X","X","","","","","X","X"
"Vivid Niltava","Niltava vivida","","","","","","X","X",""
"Blue-and-white Flycatcher","Cyanoptila cyanomelana","","","","","","X","X",""
"Zappey's Flycatcher","Cyanoptila cumatilis","","","","","","X","X",""
"Nilgiri Flycatcher","Eumyias albicaudatus","","","X","","","","X","X"
"Verditer Flycatcher","Eumyias thalassinus","X","X","","","X","","X","X"
"Rusty-bellied Shortwing","Brachypteryx hyperythra","","","","X","","","X","X"
"Gould's Shortwing","Heteroxenicus stellatus","","","","X","","","X","X"
"Lesser Shortwing","Brachypteryx leucophris","","X","","","","","X","X"
"White-browed Shortwing","Brachypteryx montana","","","","","","","X",""
"Indian Blue Robin","Larvivora brunnea","X","X","","","X","","X","X"
"Siberian Blue Robin","Larvivora cyane","","","","","","X","X",""
"Hodgson's Blue Robin","Luscinia phaenicuroides","","","","","","","X",""
"Bluethroat","Luscinia svecica","X","X","","","","","X","X"
"Malabar Whistling Thrush","Myophonus horsfieldii","X","X","X","","","","X","X"
"Blue Whistling Thrush","Myophonus caeruleus","X","X","","","","","X","X"
"Little Forktail","Enicurus scouleri","X","X","","","","","X","X"
"White-crowned Forktail","Enicurus leschenaulti","","","","","","","X",""
"Spotted Forktail","Enicurus maculatus","X","X","","","X","","X","X"
"Black-backed Forktail","Enicurus immaculatus","","X","","","X","","X","X"
"Slaty-backed Forktail","Enicurus schistaceus","","X","","","","","X","X"
"Firethroat","Calliope pectardens","","","","","","X","X",""
"Siberian Rubythroat","Calliope calliope","","X","","","","","X","X"
"Himalayan Rubythroat","Calliope pectoralis","","X","","","X","","X","X"
"Chinese Rubythroat","Calliope tschebaiewi","","","","","X","","X","X"
"White-tailed Robin","Myiomela leucura","","X","","","","","X","X"
"Blue-fronted Robin","Cinclidium frontale","","","","","X","","X","X"
"Red-flanked Bush Robin","Tarsiger cyanurus","","","","","","X","X",""
"Himalayan Bush Robin","Tarsiger rufilatus","X","X","","","","","X","X"
"Rufous-breasted Bush Robin","Tarsiger hyperythrus","","","","X","","","X","X"
"White-browed Bush Robin","Tarsiger indicus","","","","","","","X",""
"Golden Bush Robin","Tarsiger chrysaeus","","X","","","","","X","X"
"Yellow-rumped Flycatcher","Ficedula zanthopygia","","","","","","X","X",""
"Mugimaki Flycatcher","Ficedula mugimaki","","","","","","X","X",""
"Slaty-backed Flycatcher","Ficedula sordida","","","","","","","X",""
"Black-and-orange Flycatcher","Ficedula nigrorufa","","X","X","","","","X","X"
"Slaty-blue Flycatcher","Ficedula tricolor","X","X","","","X","","X","X"
"Snowy-browed Flycatcher","Ficedula hyperythra","","X","","","","","X","X"
"Pygmy Blue Flycatcher","Ficedula hodgsoni","","","","","X","","X","X"
"Rufous-gorgeted Flycatcher","Ficedula strophiata","X","X","","","X","","X","X"
"Sapphire Flycatcher","Ficedula sapphira","","","","","X","","X","X"
"Little Pied Flycatcher","Ficedula westermanni","X","X","","","","","X","X"
"Ultramarine Flycatcher","Ficedula superciliaris","X","X","","","X","","X","X"
"Rusty-tailed Flycatcher","Ficedula ruficauda","X","X","","","X","","X","X"
"Taiga Flycatcher","Ficedula albicilla","","","","","X","","X","X"
"Kashmir Flycatcher","Ficedula subrubra","","","X","","","","X","X"
"Red-breasted Flycatcher","Ficedula parva","X","X","","","X","","X","X"
"Blue-fronted Redstart","Phoenicurus frontalis","X","X","","","","","X","X"
"Plumbeous Water Redstart","Phoenicurus fuliginosus","X","X","","","","","X","X"
"Eversmann's Redstart","Phoenicurus erythronotus","","","","","","X","X",""
"White-capped Water Redstart","Phoenicurus leucocephalus","X","X","","","","","X","X"
"Blue-capped Redstart","Phoenicurus coeruleocephala","","X","","","X","","X","X"
"Common Redstart","Phoenicurus phoenicurus","","","","","","X","X",""
"Hodgson's Redstart","Phoenicurus hodgsoni","","","","","","","X",""
"White-throated Redstart","Phoenicurus schisticeps","","","","","","","X",""
"White-winged Redstart","Phoenicurus erythrogastrus","","X","","","","","X","X"
"Black Redstart","Phoenicurus ochruros","X","X","","","","","X","X"
"Daurian Redstart","Phoenicurus auroreus","","","","","","","X",""
"Chestnut-bellied Rock Thrush","Monticola rufiventris","X","X","","","X","","X","X"
"Blue-capped Rock Thrush","Monticola cinclorhyncha","X","X","","","X","","X","X"
"Rufous-tailed Rock Thrush","Monticola saxatilis","","","","","","X","X",""
"Blue Rock Thrush","Monticola solitarius","X","X","","","","","X","X"
"Stoliczka's Bushchat","Saxicola macrorhynchus","","","X","","","","X","X"
"Hodgson's Bushchat","Saxicola insignis","","","","","X","","X","X"
"Siberian Stonechat","Saxicola maurus","X","X","","","","","X","X"
"White-tailed Stonechat","Saxicola leucurus","","","","","","","X",""
"Pied Bushchat","Saxicola caprata","X","X","","","","","X","X"
"Jerdon's Bushchat","Saxicola jerdoni","","","","","","","X",""
"Grey Bushchat","Saxicola ferreus","X","X","","","","","X","X"
"Brown Rock Chat","Oenanthe fusca","X","X","X","","","","X","X"
"Hume's Wheatear","Oenanthe albonigra","","","","","","X","X",""
"Northern Wheatear","Oenanthe oenanthe","","","","","","","X",""
"Finsch's Wheatear","Oenanthe finschii","","","","","","X","X",""
"Variable Wheatear","Oenanthe picata","X","X","","","X","","X","X"
"Pied Wheatear","Oenanthe pleschanka","","","","","","","X",""
"Red-tailed Wheatear","Oenanthe chrysopygia","","","","","","","X",""
"Desert Wheatear","Oenanthe deserti","X","X","","","","","X","X"
"Isabelline Wheatear","Oenanthe isabellina","","X","","","","","X","X"
"Grandala","Grandala coelicolor","","","","","X","","X","X"
"Long-tailed Thrush","Zoothera dixoni","","","","","X","","X","X"
"Alpine Thrush","Zoothera mollissima","","","","","X","","X","X"
"Himalayan Forest Thrush","Zoothera salimalii","","","","","","","X",""
"Dark-sided Thrush","Zoothera marginata","","","","X","","","X","X"
"Long-billed Thrush","Zoothera monticola","","X","","X","","","X","X"
"Scaly Thrush","Zoothera dauma","","X","","","X","","X","X"
"Nilgiri Thrush","Zoothera neilgherriensis","","X","X","","","","X","X"
"Purple Cochoa","Cochoa purpurea","","","","","X","","X","X"
"Green Cochoa","Cochoa viridis","","","","","","","X",""
"Siberian Thrush","Geokichla sibirica","","","","","","X","X",""
"Pied Thrush","Geokichla wardii","","","X","","","","X","X"
"Orange-headed Thrush","Geokichla citrina","X","X","","","X","","X","X"
"Chinese Thrush","Otocichla mupinensis","","","","","","X","X",""
"Mistle Thrush","Turdus viscivorus","","X","","","","","X","X"
"Song Thrush","Turdus philomelos","","","","","","X","X",""
"Grey-winged Blackbird","Turdus boulboul","X","X","","","X","","X","X"
"Indian Blackbird","Turdus simillimus","X","X","X","","","","X","X"
"Tickell's Thrush","Turdus unicolor","X","X","X","","","","X","X"
"Black-breasted Thrush","Turdus dissimilis","","","","","","","X",""
"Grey-sided Thrush","Turdus feae","","","","","","","X",""
"Eyebrowed Thrush","Turdus obscurus","","","","","","","X",""
"Kessler's Thrush","Turdus kessleri","","","","","","X","X",""
"Tibetan Blackbird","Turdus maximus","","","","X","","","X","X"
"Fieldfare","Turdus pilaris","","","","","","X","X",""
"White-collared Blackbird","Turdus albocinctus","","X","","X","","","X","X"
"Chestnut Thrush","Turdus rubrocanus","","","","","","","X",""
"Black-throated Thrush","Turdus atrogularis","","","","","","","X",""
"Red-throated Thrush","Turdus ruficollis","","","","","","","X",""
"Dusky Thrush","Turdus eunomus","","","","","","","X",""
"Naumann's Thrush","Turdus naumanni","","","","","","X","X",""
"Asian Glossy Starling","Aplonis panayensis","","","","","","","X",""
"Golden-crested Myna","Ampeliceps coronatus","","","","","","X","X",""
"Common Hill Myna","Gracula religiosa","X","X","","","","","X","X"
"Southern Hill Myna","Gracula indica","X","X","X","","","","X","X"
"Common Starling","Sturnus vulgaris","X","X","","","","","X","X"
"Rosy Starling","Pastor roseus","X","X","","","X","","X","X"
"Purple-backed Starling","Agropsar sturninus","","","","","","X","X",""
"Chestnut-cheeked Starling","Agropsar philippensis","","","","","","X","X",""
"Asian Pied Starling","Gracupica contra","X","X","","","","","X","X"
"Brahminy Starling","Sturnia pagodarum","X","X","","","X","","X","X"
"Chestnut-tailed Starling","Sturnia malabarica","X","X","","","X","","X","X"
"Malabar Starling","Sturnia blythii","","X","X","","","","X","X"
"White-headed Starling","Sturnia erythropygia","","X","X","","","","X","X"
"White-cheeked Starling","Spodiopsar cineraceus","","","","","","X","X",""
"Common Myna","Acridotheres tristis","X","X","","","","","X","X"
"Bank Myna","Acridotheres ginginianus","X","X","X","","","","X","X"
"Jungle Myna","Acridotheres fuscus","X","X","","","","","X","X"
"Collared Myna","Acridotheres albocinctus","","","","","","X","X",""
"Great Myna","Acridotheres grandis","","X","","","","","X","X"
"Spot-winged Starling","Saroglossa spilopterus","","","","","X","","X","X"
"Blue-winged Leafbird","Chloropsis cochinchinensis","","","","","","","X",""
"Jerdon's Leafbird","Chloropsis jerdoni","X","X","X","","","","X","X"
"Golden-fronted Leafbird","Chloropsis aurifrons","X","X","","","X","","X","X"
"Orange-bellied Leafbird","Chloropsis hardwickii","X","X","","","","","X","X"
"Thick-billed Flowerpecker","Dicaeum agile","X","X","","","X","","X","X"
"Yellow-vented Flowerpecker","Dicaeum chrysorrheum","","","","","","","X",""
"Yellow-bellied Flowerpecker","Dicaeum melanozanthum","","","","","","","X",""
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos","X","X","X","","","","X","X"
"Nilgiri Flowerpecker","Dicaeum concolor","X","X","X","","","","X","X"
"Plain Flowerpecker","Dicaeum minullum","","X","","","","","X","X"
"Andaman Flowerpecker","Dicaeum virescens","","X","X","","","","X","X"
"Fire-breasted Flowerpecker","Dicaeum ignipectus","X","X","","","","","X","X"
"Scarlet-backed Flowerpecker","Dicaeum cruentatum","X","X","","","","","X","X"
"Ruby-cheeked Sunbird","Chalcoparia singalensis","","X","","","","","X","X"
"Purple-rumped Sunbird","Leptocoma zeylonica","X","X","X","","","","X","X"
"Crimson-backed Sunbird","Leptocoma minima","X","X","X","","","","X","X"
"Van Hasselt's Sunbird","Leptocoma brasiliana","","","","","","X","X",""
"Purple Sunbird","Cinnyris asiaticus","X","X","","","","","X","X"
"Olive-backed Sunbird","Cinnyris jugularis","","","","","","X","X",""
"Loten's Sunbird","Cinnyris lotenius","X","X","X","","","","X","X"
"Fire-tailed Sunbird","Aethopyga ignicauda","","X","","","X","","X","X"
"Black-throated Sunbird","Aethopyga saturata","","X","","","","","X","X"
