species,scientific,essential,discard,remarks
Lesser Kestrel,Falco naumanni,,,
Eurasian Kestrel,Falco tinnunculus,,,
Red-necked Falcon,Falco chicquera,1,,
Red-footed Falcon,Falco vespertinus,,1,
Amur Falcon,Falco amurensis,1,,
Merlin,Falco columbarius,,,
Eurasian Hobby,Falco subbuteo,,,
Oriental Hobby,Falco severus,,,
Laggar Falcon,Falco jugger,1,,
Saker Falcon,Falco cherrug,,,
Peregrine Falcon,Falco peregrinus,,,
Alexandrine Parakeet,Psittacula eupatria,1,,
Rose-ringed Parakeet,Psittacula krameri,1,,
Slaty-headed Parakeet,Psittacula himalayana,,,
Gray-headed Parakeet,Psittacula finschii,,,
Plum-headed Parakeet,Psittacula cyanocephala,,,
Blossom-headed Parakeet,Psittacula roseata,,,
Malabar Parakeet,Psittacula columboides,,,
Derbyan Parakeet,Psittacula derbiana,,1,Edge of range
Red-breasted Parakeet,Psittacula alexandri,,,
Nicobar Parakeet,Psittacula caniceps,,,
Long-tailed Parakeet,Psittacula longicauda,,,
Vernal Hanging-Parrot,Loriculus vernalis,,,
Long-tailed Broadbill,Psarisomus dalhousiae,,,
Silver-breasted Broadbill,Serilophus lunatus,,,
Blue-naped Pitta,Hydrornis nipalensis,1,,
Blue Pitta,Hydrornis cyaneus,,1,
Indian Pitta,Pitta brachyura,,,
Blue-winged Pitta,Pitta moluccensis,,1,
Hooded Pitta,Pitta sordida,,,
Mangrove Pitta,Pitta megarhyncha,,,Edge of range ?
Malabar Woodshrike,Tephrodornis sylvicola,,,
Large Woodshrike,Tephrodornis virgatus,,,
Common Woodshrike,Tephrodornis pondicerianus,1,,
Bar-winged Flycatcher-shrike,Hemipus picatus,,,
Ashy Woodswallow,Artamus fuscus,1,,
White-breasted Woodswallow,Artamus leucorynchus,,1,Edge of range
Common Iora,Aegithina tiphia,,,
White-tailed Iora,Aegithina nigrolutea,,,
White-bellied Minivet,Pericrocotus erythropygius,,,
Small Minivet,Pericrocotus cinnamomeus,1,,
Gray-chinned Minivet,Pericrocotus solaris,,,
Short-billed Minivet,Pericrocotus brevirostris,,,
Long-tailed Minivet,Pericrocotus ethologus,,,
Orange Minivet,Pericrocotus flammeus,,,
Scarlet Minivet,Pericrocotus speciosus,,,
Ashy Minivet,Pericrocotus divaricatus,,1,
Brown-rumped Minivet,Pericrocotus cantonensis,,1,
Rosy Minivet,Pericrocotus roseus,,,
Large Cuckooshrike,Coracina macei,,,
Andaman Cuckooshrike,Coracina dobsoni,,,
Pied Triller,Lalage nigra,,1,Edge of range
Black-winged Cuckooshrike,Lalage melaschistos,,,
Black-headed Cuckooshrike,Lalage melanoptera,,,
Mangrove Whistler,Pachycephala cinerea,,,Edge of range
Red-backed Shrike,Lanius collurio,,,
Red-tailed Shrike,Lanius phoenicuroides,,1,
Isabelline Shrike,Lanius isabellinus,1,,
Brown Shrike,Lanius cristatus,1,,
Burmese Shrike,Lanius collurioides,,,
Bay-backed Shrike,Lanius vittatus,1,,
Long-tailed Shrike,Lanius schach,,,
Gray-backed Shrike,Lanius tephronotus,,,
Great Gray Shrike,Lanius excubitor,,,
Lesser Gray Shrike,Lanius minor,,1,
Masked Shrike,Lanius nubicus,,,
Woodchat Shrike,Lanius senator,,1,
Black-headed Shrike-Babbler,Pteruthius rufiventer,,,
Himalayan Shrike-Babbler,Pteruthius ripleyi,1,,
Blyth's Shrike-Babbler,Pteruthius aeralatus,,,
Green Shrike-Babbler,Pteruthius xanthochlorus,1,,
Black-eared Shrike-Babbler,Pteruthius melanotis,,,
Clicking Shrike-Babbler,Pteruthius intermedius,,1,
White-bellied Erpornis,Erpornis zantholeuca,,,
Eurasian Golden Oriole,Oriolus oriolus,,1,
Indian Golden Oriole,Oriolus kundoo,1,,
Black-naped Oriole,Oriolus chinensis,,,
Slender-billed Oriole,Oriolus tenuirostris,,,
Black-hooded Oriole,Oriolus xanthornus,1,,
Maroon Oriole,Oriolus traillii,,,
Black Drongo,Dicrurus macrocercus,,,
Ashy Drongo,Dicrurus leucophaeus,,,
White-bellied Drongo,Dicrurus caerulescens,,,
Crow-billed Drongo,Dicrurus annectens,,,
Bronzed Drongo,Dicrurus aeneus,,,
Lesser Racket-tailed Drongo,Dicrurus remifer,,,
Hair-crested Drongo,Dicrurus hottentottus,1,,
Andaman Drongo,Dicrurus andamanensis,,,
Greater Racket-tailed Drongo,Dicrurus paradiseus,,,
White-throated Fantail,Rhipidura albicollis,,,
Spot-breasted Fantail,Rhipidura albogularis,,,
White-browed Fantail,Rhipidura aureola,1,,
Black-naped Monarch,Hypothymis azurea,,,
Amur Paradise-Flycatcher,Terpsiphone incei,,1,
Blyth's Paradise-Flycatcher,Terpsiphone affinis,,1,
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,,
Eurasian Jay,Garrulus glandarius,,,
Black-headed Jay,Garrulus lanceolatus,,,
Yellow-billed Blue-Magpie,Urocissa flavirostris,,,
Red-billed Blue-Magpie,Urocissa erythroryncha,,,
Common Green-Magpie,Cissa chinensis,,,
Rufous Treepie,Dendrocitta vagabunda,,,
Gray Treepie,Dendrocitta formosae,,,
White-bellied Treepie,Dendrocitta leucogastra,,,
Collared Treepie,Dendrocitta frontalis,1,,
Andaman Treepie,Dendrocitta bayleii,,,
Eurasian Magpie,Pica pica,,,
Eurasian Nutcracker,Nucifraga caryocatactes,,,
Kashmir Nutcracker,Nucifraga multipunctata,,,
Red-billed Chough,Pyrrhocorax pyrrhocorax,,,
Yellow-billed Chough,Pyrrhocorax graculus,,,
Eurasian Jackdaw,Corvus monedula,,,
House Crow,Corvus splendens,,,
Rook,Corvus frugilegus,,1,
Carrion Crow,Corvus corone,,,
Hooded Crow,Corvus cornix,,1,
Large-billed Crow,Corvus macrorhynchos,,,
Pied Crow,Corvus albus,,1,
Common Raven,Corvus corax,,,
Greater Hoopoe-Lark,Alaemon alaudipes,,,
Rufous-tailed Lark,Ammomanes phoenicura,,,
Desert Lark,Ammomanes deserti,,,
Black-crowned Sparrow-Lark,Eremopterix nigriceps,,,
Ashy-crowned Sparrow-Lark,Eremopterix griseus,,,
Singing Bushlark,Mirafra cantillans,,,
Bengal Bushlark,Mirafra assamica,,,
Jerdon's Bushlark,Mirafra affinis,,,
Indian Bushlark,Mirafra erythroptera,,,
Horned Lark,Eremophila alpestris,,,
Greater Short-toed Lark,Calandrella brachydactyla,,,
Sykes's Short-toed Lark,Calandrella dukhunensis,1,,Included as part of GSTL
Hume's Lark,Calandrella acutirostris,,,
Bimaculated Lark,Melanocorypha bimaculata,,,
Tibetan Lark,Melanocorypha maxima,,1,Edge or range
Lesser Short-toed Lark,Alaudala rufescens,,1,
Sand Lark,Alaudala raytal,1,,
Eurasian Skylark,Alauda arvensis,,,
Oriental Skylark,Alauda gulgula,,,
Crested Lark,Galerida cristata,,,
Malabar Lark,Galerida malabarica,,,
Tawny Lark,Galerida deva,,,
Gray-throated Martin,Riparia chinensis,,,
Bank Swallow,Riparia riparia,,,
Pale Sand Martin,Riparia diluta,,,
Eurasian Crag-Martin,Ptyonoprogne rupestris,,,
Dusky Crag-Martin,Ptyonoprogne concolor,1,,
Barn Swallow,Hirundo rustica,,,
Wire-tailed Swallow,Hirundo smithii,,,
Hill Swallow,Hirundo domicola,,,
Pacific Swallow,Hirundo tahitica,,1,Edge of range
Red-rumped Swallow,Cecropis daurica,,,
Striated Swallow,Cecropis striolata,,,
Streak-throated Swallow,Petrochelidon fluvicola,1,,
Common House-Martin,Delichon urbicum,,,
Asian House-Martin,Delichon dasypus,,,
Nepal House-Martin,Delichon nipalense,1,,
Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,,,
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,1,,
Fire-capped Tit,Cephalopyrus flammiceps,1,,
Yellow-browed Tit,Sylviparus modestus,,,
Sultan Tit,Melanochlora sultanea,,,
Coal Tit,Periparus ater,,,
Black-breasted Tit,Periparus rufonuchalis,1,,
Rufous-vented Tit,Periparus rubidiventris,,,
Gray-crested Tit,Lophophanes dichrous,,,
Azure Tit,Cyanistes cyanus,,1,
Ground Tit,Pseudopodoces humilis,,,
Green-backed Tit,Parus monticolus,,,
Cinereous Tit,Parus cinereus,,,
White-naped Tit,Machlolophus nuchalis,,,
Himalayan Black-lored Tit,Machlolophus xanthogenys,,,
Indian Yellow Tit,Machlolophus aplonotus,,,
Yellow-cheeked Tit,Machlolophus spilonotus,,,
White-crowned Penduline-Tit,Remiz coronatus,,1,Edge of range
White-browed Tit-Warbler,Leptopoecile sophiae,,,
Crested Tit-Warbler,Leptopoecile elegans,,1,
White-cheeked Tit,Aegithalos leucogenys,,1,
Black-throated Tit,Aegithalos concinnus,,,
White-throated Tit,Aegithalos niveogularis,,,
Black-browed Tit,Aegithalos iouschistos,1,,
Indian Nuthatch,Sitta castanea,,,
Chestnut-bellied Nuthatch,Sitta cinnamoventris,,,
Chestnut-vented Nuthatch,Sitta nagaensis,,,
Kashmir Nuthatch,Sitta cashmirensis,,,
White-tailed Nuthatch,Sitta himalayensis,1,,
White-cheeked Nuthatch,Sitta leucopsis,,,
Yunnan Nuthatch,Sitta yunnanensis,,1,
Velvet-fronted Nuthatch,Sitta frontalis,,,
Beautiful Nuthatch,Sitta formosa,1,,
Wallcreeper,Tichodroma muraria,,,
Hodgson's Treecreeper,Certhia hodgsoni,1,,
Bar-tailed Treecreeper,Certhia himalayana,1,,
Rusty-flanked Treecreeper,Certhia nipalensis,,,
Sikkim Treecreeper,Certhia discolor,,,
Hume's Treecreeper,Certhia manipurensis,,1,Edge of range ?
Indian Spotted Creeper,Salpornis spilonota,,,
Eurasian Wren,Troglodytes troglodytes,,,
White-throated Dipper,Cinclus cinclus,,,
Brown Dipper,Cinclus pallasii,,,
Gray-headed Bulbul,Brachypodius priocephalus,,,
Black-headed Bulbul,Brachypodius atriceps,,,
Andaman Bulbul,Brachypodius fuscoflavescens,,,
Black-crested Bulbul,Rubigula flaviventris,,,
Flame-throated Bulbul,Rubigula gularis,,,
Crested Finchbill,Spizixos canifrons,,,
Striated Bulbul,Pycnonotus striatus,,,
Red-vented Bulbul,Pycnonotus cafer,,,
Red-whiskered Bulbul,Pycnonotus jocosus,1,,
White-eared Bulbul,Pycnonotus leucotis,1,,
Himalayan Bulbul,Pycnonotus leucogenys,,,
Yellow-throated Bulbul,Pycnonotus xantholaemus,,,
Flavescent Bulbul,Pycnonotus flavescens,,,
White-browed Bulbul,Pycnonotus luteolus,,,
White-throated Bulbul,Alophoixus flaveolus,1,,
Cachar Bulbul,Iole cacharensis,1,,
Yellow-browed Bulbul,Iole indica,,,
Black Bulbul,Hypsipetes leucocephalus,,,
Square-tailed Bulbul,Hypsipetes ganeesa,,,
Nicobar Bulbul,Hypsipetes nicobariensis,,,
Ashy Bulbul,Hemixos flavala,,,
Mountain Bulbul,Ixos mcclellandii,,,
Goldcrest,Regulus regulus,,,
Scaly-breasted Cupwing,Pnoepyga albiventer,1,,
Immaculate Cupwing,Pnoepyga immaculata,,,
Pygmy Cupwing,Pnoepyga pusilla,,,
Pale-footed Bush Warbler,Urosphena pallidipes,1,,
Asian Stubtail,Urosphena squameiceps,,1,
Gray-bellied Tesia,Tesia cyaniventer,,,
Slaty-bellied Tesia,Tesia olivea,1,,
Chestnut-crowned Bush Warbler,Cettia major,,,
Gray-sided Bush Warbler,Cettia brunnifrons,1,,
Chestnut-headed Tesia,Cettia castaneocoronata,1,,
Cetti's Warbler,Cettia cetti,,1,
Yellow-bellied Warbler,Abroscopus superciliaris,,,
Rufous-faced Warbler,Abroscopus albogularis,,,
Black-faced Warbler,Abroscopus schisticeps,1,,
Mountain Tailorbird,Phyllergates cucullatus,,,
Broad-billed Warbler,Tickellia hodgsoni,,,
Japanese Bush Warbler,Horornis diphone,,,
Brownish-flanked Bush Warbler,Horornis fortipes,,,
Hume's Bush Warbler,Horornis brunnescens,,,
Aberrant Bush Warbler,Horornis flavolivaceus,1,,
Wood Warbler,Phylloscopus sibilatrix,,1,
Ashy-throated Warbler,Phylloscopus maculipennis,1,,
Buff-barred Warbler,Phylloscopus pulcher,,,
Yellow-browed Warbler,Phylloscopus inornatus,,,
Hume's Warbler,Phylloscopus humei,1,,
Brooks's Leaf Warbler,Phylloscopus subviridis,1,,
Chinese Leaf Warbler,Phylloscopus yunnanensis,,1,Edge of range
Pale-rumped Warbler,Phylloscopus chloronotus,1,,
Tytler's Leaf Warbler,Phylloscopus tytleri,1,,
Sulphur-bellied Warbler,Phylloscopus griseolus,1,,
Tickell's Leaf Warbler,Phylloscopus affinis,1,,
Dusky Warbler,Phylloscopus fuscatus,,,
Smoky Warbler,Phylloscopus fuligiventer,1,,
Plain Leaf Warbler,Phylloscopus neglectus,,1,
Buff-throated Warbler,Phylloscopus subaffinis,,1,
Mountain Chiffchaff,Phylloscopus sindianus,1,,
Common Chiffchaff,Phylloscopus collybita,,,
White-spectacled Warbler,Phylloscopus intermedius,,,
Gray-cheeked Warbler,Phylloscopus poliogenys,1,,
Golden-spectacled Warbler,Phylloscopus burkii,1,,
Gray-crowned Warbler,Phylloscopus tephrocephalus,,,
Whistler's Warbler,Phylloscopus whistleri,1,,
Green Warbler,Phylloscopus nitidus,1,,
Greenish Warbler,Phylloscopus trochiloides,1,,
Two-barred Warbler,Phylloscopus plumbeitarsus,,1,
Large-billed Leaf Warbler,Phylloscopus magnirostris,1,,
Pale-legged Leaf Warbler,Phylloscopus tenellipes,,1,
Arctic Warbler,Phylloscopus borealis,,1,
Chestnut-crowned Warbler,Phylloscopus castaniceps,,,
Yellow-vented Warbler,Phylloscopus cantator,1,,
Western Crowned Warbler,Phylloscopus occipitalis,1,,
Blyth's Leaf Warbler,Phylloscopus reguloides,,,
Claudia's Leaf Warbler,Phylloscopus claudiae,,1,
Gray-hooded Warbler,Phylloscopus xanthoschistos,,,
Thick-billed Warbler,Arundinax aedon,,,
Booted Warbler,Iduna caligata,1,,
Sykes's Warbler,Iduna rama,1,,
Black-browed Reed Warbler,Acrocephalus bistrigiceps,,1,
Moustached Warbler,Acrocephalus melanopogon,,,
Sedge Warbler,Acrocephalus schoenobaenus,,1,
Paddyfield Warbler,Acrocephalus agricola,,,
Blunt-winged Warbler,Acrocephalus concinens,,,
Blyth's Reed Warbler,Acrocephalus dumetorum,1,,
Large-billed Reed Warbler,Acrocephalus orinus,,1,
Great Reed Warbler,Acrocephalus arundinaceus,,1,
Oriental Reed Warbler,Acrocephalus orientalis,,1,
Clamorous Reed Warbler,Acrocephalus stentoreus,,,
Striated Grassbird,Megalurus palustris,,,
Broad-tailed Grassbird,Schoenicola platyurus,,,
Pallas's Grasshopper-Warbler,Locustella certhiola,,,
Lanceolated Warbler,Locustella lanceolata,,1,
Brown Bush Warbler,Locustella luteoventris,,,
Chinese Bush Warbler,Locustella tacsanowskia,,1,
Long-billed Bush Warbler,Locustella major,,1,
Common Grasshopper-Warbler,Locustella naevia,,,
Baikal Bush Warbler,Locustella davidi,,,
West Himalayan Bush Warbler,Locustella kashmirensis,,,
Spotted Bush Warbler,Locustella thoracica,1,,
Russet Bush Warbler,Locustella mandelli,,,
Bristled Grassbird,Chaetornis striata,,,
Common Tailorbird,Orthotomus sutorius,,,
Dark-necked Tailorbird,Orthotomus atrogularis,,,
Striated Prinia,Prinia crinigera,,,
Black-throated Prinia,Prinia atrogularis,,,
Hill Prinia,Prinia superciliaris,,1,Edge of range
Gray-crowned Prinia,Prinia cinereocapilla,,,
Rufous-fronted Prinia,Prinia buchanani,,,
Rufescent Prinia,Prinia rufescens,,,
Gray-breasted Prinia,Prinia hodgsonii,,,
Graceful Prinia,Prinia gracilis,1,,
Jungle Prinia,Prinia sylvatica,,,
Yellow-bellied Prinia,Prinia flaviventris,,,
Ashy Prinia,Prinia socialis,,,
Plain Prinia,Prinia inornata,,,
Zitting Cisticola,Cisticola juncidis,,,
Golden-headed Cisticola,Cisticola exilis,1,,
Garden Warbler,Sylvia borin,,1,
Asian Desert Warbler,Sylvia nana,,,
Barred Warbler,Sylvia nisoria,,1,
Desert Whitethroat,Sylvia minula,,,
Hume's Whitethroat,Sylvia althaea,,,
Lesser Whitethroat,Sylvia curruca,1,,
Eastern Orphean Warbler,Sylvia crassirostris,1,,
Greater Whitethroat,Sylvia communis,,,
Fire-tailed Myzornis,Myzornis pyrrhoura,,,
Golden-breasted Fulvetta,Lioparus chrysotis,,,
Yellow-eyed Babbler,Chrysomma sinense,,,
Jerdon's Babbler,Chrysomma altirostre,1,,
White-browed Fulvetta,Fulvetta vinipectus,1,,
Streak-throated Fulvetta,Fulvetta manipurensis,,,
Great Parrotbill,Conostoma aemodium,,,
Brown Parrotbill,Cholornis unicolor,,,
Gray-headed Parrotbill,Psittiparus gularis,,,
White-breasted Parrotbill,Psittiparus ruficeps,,,
Rufous-headed Parrotbill,Psittiparus bakeri,,,
Black-breasted Parrotbill,Paradoxornis flavirostris,,,
Spot-breasted Parrotbill,Paradoxornis guttaticollis,,,
Pale-billed Parrotbill,Chleuasicus atrosuperciliaris,1,,
Fulvous Parrotbill,Suthora fulvifrons,,,
Black-throated Parrotbill,Suthora nipalensis,1,,
Striated Yuhina,Yuhina castaniceps,1,,
White-naped Yuhina,Yuhina bakeri,,,
Whiskered Yuhina,Yuhina flavicollis,,,
Stripe-throated Yuhina,Yuhina gularis,1,,
Rufous-vented Yuhina,Yuhina occipitalis,,,
Black-chinned Yuhina,Yuhina nigrimenta,,,
Chestnut-flanked White-eye,Zosterops erythropleurus,,1,
Oriental White-eye,Zosterops palpebrosus,,,
Chestnut-capped Babbler,Timalia pileata,,,
Pin-striped Tit-Babbler,Mixornis gularis,,,
Tawny-bellied Babbler,Dumetia hyperythra,,,
Dark-fronted Babbler,Rhopocichla atriceps,,,
Golden Babbler,Cyanoderma chrysaeum,,,
Black-chinned Babbler,Cyanoderma pyrrhops,,,
Rufous-capped Babbler,Cyanoderma ruficeps,,,
Buff-chested Babbler,Cyanoderma ambiguum,1,,
Rufous-throated Wren-Babbler,Spelaeornis caudatus,,,
Rusty-throated Wren-Babbler,Spelaeornis badeigularis,,,
Bar-winged Wren-Babbler,Spelaeornis troglodytoides,1,,
Long-tailed Wren-Babbler,Spelaeornis chocolatinus,,,
Chin Hills Wren-Babbler,Spelaeornis oatesi,,,
Gray-bellied Wren-Babbler,Spelaeornis reptatus,,1,
Tawny-breasted Wren-Babbler,Spelaeornis longicaudatus,,,
Red-billed Scimitar-Babbler,Pomatorhinus ochraceiceps,,,
Coral-billed Scimitar-Babbler,Pomatorhinus ferruginosus,,,
Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris,1,,
Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis,,,
Indian Scimitar-Babbler,Pomatorhinus horsfieldii,,,
White-browed Scimitar-Babbler,Pomatorhinus schisticeps,,,
Large Scimitar-Babbler,Megapomatorhinus hypoleucos,,,
Rusty-cheeked Scimitar-Babbler,Megapomatorhinus erythrogenys,1,,
Spot-breasted Scimitar-Babbler,Megapomatorhinus mcclellandi,,,
Gray-throated Babbler,Stachyris nigriceps,,,
Snowy-throated Babbler,Stachyris oglei,,,
Blackish-breasted Babbler,Stachyris humei,,,
Chevron-breasted Babbler,Stachyris roberti,,,
White-hooded Babbler,Gampsorhynchus rufulus,1,,
Yellow-throated Fulvetta,Schoeniparus cinereus,,,
Rufous-winged Fulvetta,Schoeniparus castaneceps,,,
Rufous-throated Fulvetta,Schoeniparus rufogularis,1,,
Rusty-capped Fulvetta,Schoeniparus dubius,,,
Rufous-vented Prinia,Laticilla burnesii,,,
Swamp Prinia,Laticilla cinerascens,,,
Puff-throated Babbler,Pellorneum ruficeps,,,
Marsh Babbler,Pellorneum palustre,,,
Spot-throated Babbler,Pellorneum albiventre,,,
Buff-breasted Babbler,Pellorneum tickelli,,,
Eyebrowed Wren-Babbler,Napothera epilepidota,,,
Long-billed Wren-Babbler,Napothera malacoptila,,,
Abbott's Babbler,Turdinus abbotti,,,
Streaked Wren-Babbler,Turdinus brevicaudatus,,,
Indian Grassbird,Graminicola bengalensis,,,
Ludlow's Fulvetta,Alcippe ludlowi,,,
Brown-cheeked Fulvetta,Alcippe poioicephala,1,,
Nepal Fulvetta,Alcippe nipalensis,1,,
Striated Laughingthrush,Grammatoptila striata,,,
Himalayan Cutia,Cutia nipalensis,1,,
Common Babbler,Turdoides caudata,,,
Striated Babbler,Turdoides earlei,1,,
Slender-billed Babbler,Turdoides longirostris,,,
Large Gray Babbler,Turdoides malcolmi,,,
Rufous Babbler,Turdoides subrufa,,,
Jungle Babbler,Turdoides striata,,,
Yellow-billed Babbler,Turdoides affinis,,,
White-crested Laughingthrush,Garrulax leucolophus,,,
Lesser Necklaced Laughingthrush,Garrulax monileger,,,
Spot-breasted Laughingthrush,Garrulax merulinus,,,
Moustached Laughingthrush,Ianthocincla cineracea,,,
Rufous-chinned Laughingthrush,Ianthocincla rufogularis,,,
Spotted Laughingthrush,Ianthocincla ocellata,,,
Greater Necklaced Laughingthrush,Ianthocincla pectoralis,,,
White-throated Laughingthrush,Ianthocincla albogularis,,,
Rufous-necked Laughingthrush,Ianthocincla ruficollis,1,,
Chestnut-backed Laughingthrush,Ianthocincla nuchalis,,,
Yellow-throated Laughingthrush,Ianthocincla galbana,,,
Wynaad Laughingthrush,Ianthocincla delesserti,,,
Rufous-vented Laughingthrush,Ianthocincla gularis,,,
Gray-sided Laughingthrush,Ianthocincla caerulata,,,
White-browed Laughingthrush,Ianthocincla sannio,,,
Chinese Babax,Ianthocincla lanceolata,,1,
Streaked Laughingthrush,Trochalopteron lineatum,,,
Bhutan Laughingthrush,Trochalopteron imbricatum,,,
Striped Laughingthrush,Trochalopteron virgatum,,,
Scaly Laughingthrush,Trochalopteron subunicolor,1,,
Brown-capped Laughingthrush,Trochalopteron austeni,,,
Blue-winged Laughingthrush,Trochalopteron squamatum,,,
Elliot's Laughingthrush,Trochalopteron elliotii,,1,
Variegated Laughingthrush,Trochalopteron variegatum,,,
Black-faced Laughingthrush,Trochalopteron affine,,,
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,,,
Assam Laughingthrush,Trochalopteron chrysopterum,,,
Banasura Laughingthrush,Montecincla jerdoni,,,
Nilgiri Laughingthrush,Montecincla cachinnans,,,
Palani Laughingthrush,Montecincla fairbanki,,,
Ashambu Laughingthrush,Montecincla meridionalis,,,
Rufous Sibia,Heterophasia capistrata,,,
Gray Sibia,Heterophasia gracilis,,,
Beautiful Sibia,Heterophasia pulchella,,,
Long-tailed Sibia,Heterophasia picaoides,,,
Silver-eared Mesia,Leiothrix argentauris,,,
Red-billed Leiothrix,Leiothrix lutea,,,
Red-tailed Minla,Minla ignotincta,1,,
Rufous-backed Sibia,Minla annectens,1,,
Bugun Liocichla,Liocichla bugunorum,,,
Red-faced Liocichla,Liocichla phoenicea,1,,
Hoary-throated Barwing,Actinodura nipalensis,,,
Streak-throated Barwing,Actinodura waldeni,,,
Rusty-fronted Barwing,Actinodura egertoni,,,
Blue-winged Minla,Actinodura cyanouroptera,,,
Chestnut-tailed Minla,Actinodura strigula,1,,
Asian Fairy-bluebird,Irena puella,1,,
Dark-sided Flycatcher,Muscicapa sibirica,,,
Ferruginous Flycatcher,Muscicapa ferruginea,,,
Asian Brown Flycatcher,Muscicapa dauurica,,,
Brown-breasted Flycatcher,Muscicapa muttui,1,,
Spotted Flycatcher,Muscicapa striata,,,
Rufous-tailed Scrub-Robin,Cercotrichas galactotes,,,
Indian Robin,Copsychus fulicatus,,,
Oriental Magpie-Robin,Copsychus saularis,,,
White-rumped Shama,Copsychus malabaricus,,,
Andaman Shama,Copsychus albiventris,,,
White-gorgeted Flycatcher,Anthipes monileger,1,,
Nilgiri Sholakili,Sholicola major,,,
White-bellied Sholakili,Sholicola albiventris,,,
White-tailed Flycatcher,Cyornis concretus,,,
White-bellied Blue Flycatcher,Cyornis pallidipes,,,
Pale-chinned Blue Flycatcher,Cyornis poliogenys,1,,
Pale Blue Flycatcher,Cyornis unicolor,,,
Blue-throated Flycatcher,Cyornis rubeculoides,1,,
Large Blue Flycatcher,Cyornis magnirostris,1,,
Hill Blue Flycatcher,Cyornis banyumas,,,
Tickell's Blue Flycatcher,Cyornis tickelliae,,,
Nicobar Jungle-Flycatcher,Cyornis nicobaricus,,,
Large Niltava,Niltava grandis,,,
Small Niltava,Niltava macgrigoriae,1,,
Rufous-bellied Niltava,Niltava sundara,,,
Vivid Niltava,Niltava vivida,,1,
Blue-and-white Flycatcher,Cyanoptila cyanomelana,,1,
Zappey's Flycatcher,Cyanoptila cumatilis,,1,
Nilgiri Flycatcher,Eumyias albicaudatus,,,
Verditer Flycatcher,Eumyias thalassinus,1,,
Rusty-bellied Shortwing,Brachypteryx hyperythra,,,
Gould's Shortwing,Brachypteryx stellata,,,
Lesser Shortwing,Brachypteryx leucophris,,,
White-browed Shortwing,Brachypteryx montana,,,
Indian Blue Robin,Larvivora brunnea,1,,
Siberian Blue Robin,Larvivora cyane,,1,
White-bellied Redstart,Luscinia phaenicuroides,,,
Bluethroat,Luscinia svecica,,,
Malabar Whistling-Thrush,Myophonus horsfieldii,,,
Blue Whistling-Thrush,Myophonus caeruleus,,,
Little Forktail,Enicurus scouleri,,,
White-crowned Forktail,Enicurus leschenaulti,,,
Spotted Forktail,Enicurus maculatus,1,,
Black-backed Forktail,Enicurus immaculatus,1,,
Slaty-backed Forktail,Enicurus schistaceus,,,
Firethroat,Calliope pectardens,,1,
Siberian Rubythroat,Calliope calliope,,,
Himalayan Rubythroat,Calliope pectoralis,1,,
Chinese Rubythroat,Calliope tschebaiewi,1,,
White-tailed Robin,Myiomela leucura,,,
Blue-fronted Robin,Cinclidium frontale,1,,
Red-flanked Bluetail,Tarsiger cyanurus,,1,
Himalayan Bluetail,Tarsiger rufilatus,,,
Rufous-breasted Bush-Robin,Tarsiger hyperythrus,,,
White-browed Bush-Robin,Tarsiger indicus,,,
Golden Bush-Robin,Tarsiger chrysaeus,,,
Yellow-rumped Flycatcher,Ficedula zanthopygia,,1,
Mugimaki Flycatcher,Ficedula mugimaki,,1,
Slaty-backed Flycatcher,Ficedula sordida,,,
Black-and-orange Flycatcher,Ficedula nigrorufa,,,
Slaty-blue Flycatcher,Ficedula tricolor,1,,
Snowy-browed Flycatcher,Ficedula hyperythra,,,
Pygmy Flycatcher,Ficedula hodgsoni,1,,
Rufous-gorgeted Flycatcher,Ficedula strophiata,1,,
Sapphire Flycatcher,Ficedula sapphira,1,,
Little Pied Flycatcher,Ficedula westermanni,,,
Ultramarine Flycatcher,Ficedula superciliaris,1,,
Rusty-tailed Flycatcher,Ficedula ruficauda,1,,
Taiga Flycatcher,Ficedula albicilla,1,,Included as part of Red-breasted
Kashmir Flycatcher,Ficedula subrubra,,,
Red-breasted Flycatcher,Ficedula parva,1,,
Blue-fronted Redstart,Phoenicurus frontalis,,,
Plumbeous Redstart,Phoenicurus fuliginosus,,,
Rufous-backed Redstart,Phoenicurus erythronotus,,1,
White-capped Redstart,Phoenicurus leucocephalus,,,
Blue-capped Redstart,Phoenicurus coeruleocephala,1,,
Common Redstart,Phoenicurus phoenicurus,,1,
Hodgson's Redstart,Phoenicurus hodgsoni,,,
White-throated Redstart,Phoenicurus schisticeps,,,
White-winged Redstart,Phoenicurus erythrogastrus,,,
Black Redstart,Phoenicurus ochruros,,,
Daurian Redstart,Phoenicurus auroreus,,,
Chestnut-bellied Rock-Thrush,Monticola rufiventris,1,,
Blue-capped Rock-Thrush,Monticola cinclorhyncha,1,,
Rufous-tailed Rock-Thrush,Monticola saxatilis,,1,
Blue Rock-Thrush,Monticola solitarius,,,
White-browed Bushchat,Saxicola macrorhynchus,,,
White-throated Bushchat,Saxicola insignis,1,,
