Time Bands,Frequency,SE,Species
2011-2012,NA,NA,Blue-winged Laughingthrush
2013,NA,NA,Blue-winged Laughingthrush
2014,NA,NA,Blue-winged Laughingthrush
2015,NA,NA,Blue-winged Laughingthrush
2016,NA,NA,Blue-winged Laughingthrush
2017,NA,NA,Blue-winged Laughingthrush
2018,NA,NA,Blue-winged Laughingthrush
before 2000,NA,NA,Blue-winged Minla
2000-2006,NA,NA,Blue-winged Minla
2007-2010,NA,NA,Blue-winged Minla
2011-2012,NA,NA,Blue-winged Minla
2013,NA,NA,Blue-winged Minla
2014,0.03865889,0.015858391,Blue-winged Minla
2015,0.037960041,0.015518983,Blue-winged Minla
2016,0.029817897,0.012131157,Blue-winged Minla
2017,0.040929329,0.016579452,Blue-winged Minla
2018,0.034208277,0.013826894,Blue-winged Minla
before 2000,0.100283673,0.019214497,Blue Rock-Thrush
2000-2006,0.076189097,0.014863387,Blue Rock-Thrush
2007-2010,0.051971662,0.010430325,Blue Rock-Thrush
2011-2012,0.056791608,0.011336396,Blue Rock-Thrush
2013,0.051763519,0.010243466,Blue Rock-Thrush
2014,0.036921805,0.007293309,Blue Rock-Thrush
2015,0.02908389,0.00578565,Blue Rock-Thrush
2016,0.030770348,0.006104373,Blue Rock-Thrush
2017,0.032083729,0.006330333,Blue Rock-Thrush
2018,0.028708969,0.005670914,Blue Rock-Thrush
before 2000,0.207864394,0.027794911,Blue Whistling-Thrush
2000-2006,0.235924452,0.031300618,Blue Whistling-Thrush
2007-2010,0.211052578,0.028568423,Blue Whistling-Thrush
2011-2012,0.208399326,0.028225181,Blue Whistling-Thrush
2013,0.212858179,0.027675008,Blue Whistling-Thrush
2014,0.18464403,0.023325023,Blue Whistling-Thrush
2015,0.201531229,0.02484687,Blue Whistling-Thrush
2016,0.176244157,0.022026554,Blue Whistling-Thrush
2017,0.192074587,0.023589051,Blue Whistling-Thrush
2018,0.189789305,0.023503445,Blue Whistling-Thrush
before 2000,0.028778899,0.004901811,Bluethroat
2000-2006,0.026628732,0.004607137,Bluethroat
2007-2010,0.030739655,0.005256027,Bluethroat
2011-2012,0.026695629,0.004646133,Bluethroat
2013,0.031487803,0.005118449,Bluethroat
2014,0.020942988,0.003437494,Bluethroat
2015,0.024956346,0.003947727,Bluethroat
2016,0.022734519,0.003597702,Bluethroat
2017,0.023245743,0.003639598,Bluethroat
2018,0.019920271,0.003110022,Bluethroat
before 2000,0.116641981,0.087086389,Blyth's Leaf Warbler
2000-2006,0.032665755,0.025773106,Blyth's Leaf Warbler
2007-2010,0.052792076,0.041106084,Blyth's Leaf Warbler
2011-2012,0.03980021,0.031321593,Blyth's Leaf Warbler
2013,0.053753795,0.04197057,Blyth's Leaf Warbler
2014,0.056601126,0.044445776,Blyth's Leaf Warbler
2015,0.036323637,0.028555417,Blyth's Leaf Warbler
2016,0.040372501,0.031516843,Blyth's Leaf Warbler
2017,0.035262,0.027841584,Blyth's Leaf Warbler
2018,0.035403379,0.027823356,Blyth's Leaf Warbler
before 2000,NA,NA,Blyth's Pipit
2000-2006,NA,NA,Blyth's Pipit
2007-2010,NA,NA,Blyth's Pipit
2011-2012,NA,NA,Blyth's Pipit
2013,NA,NA,Blyth's Pipit
2014,0.002874353,0.000774091,Blyth's Pipit
2015,0.00230874,0.000598647,Blyth's Pipit
2016,0.002934422,0.000706752,Blyth's Pipit
2017,0.003467509,0.000842055,Blyth's Pipit
2018,0.004707122,0.001118487,Blyth's Pipit
before 2000,0.06990699,0.007006559,Blyth's Reed Warbler
2000-2006,0.102267192,0.009744211,Blyth's Reed Warbler
2007-2010,0.082940169,0.007873703,Blyth's Reed Warbler
2011-2012,0.069958337,0.006636341,Blyth's Reed Warbler
2013,0.069673736,0.006289982,Blyth's Reed Warbler
2014,0.071028147,0.006227385,Blyth's Reed Warbler
2015,0.064993829,0.005538286,Blyth's Reed Warbler
2016,0.078158076,0.006550808,Blyth's Reed Warbler
2017,0.0664569,0.00562262,Blyth's Reed Warbler
2018,0.082840187,0.00691768,Blyth's Reed Warbler
before 2000,NA,NA,Blyth's Rosefinch
2000-2006,NA,NA,Blyth's Rosefinch
2007-2010,NA,NA,Blyth's Rosefinch
2011-2012,NA,NA,Blyth's Rosefinch
2013,NA,NA,Blyth's Rosefinch
2014,NA,NA,Blyth's Rosefinch
2015,NA,NA,Blyth's Rosefinch
2016,NA,NA,Blyth's Rosefinch
2017,NA,NA,Blyth's Rosefinch
2018,NA,NA,Blyth's Rosefinch
before 2000,NA,NA,Blyth's Swift
2000-2006,NA,NA,Blyth's Swift
2007-2010,NA,NA,Blyth's Swift
2011-2012,NA,NA,Blyth's Swift
2013,NA,NA,Blyth's Swift
2014,NA,NA,Blyth's Swift
2015,NA,NA,Blyth's Swift
2016,NA,NA,Blyth's Swift
2017,NA,NA,Blyth's Swift
2018,NA,NA,Blyth's Swift
before 2000,NA,NA,Blyth's Tragopan
2000-2006,NA,NA,Blyth's Tragopan
2007-2010,NA,NA,Blyth's Tragopan
2011-2012,NA,NA,Blyth's Tragopan
2013,NA,NA,Blyth's Tragopan
2014,NA,NA,Blyth's Tragopan
2015,NA,NA,Blyth's Tragopan
2016,NA,NA,Blyth's Tragopan
2017,NA,NA,Blyth's Tragopan
2018,NA,NA,Blyth's Tragopan
before 2000,0.027229739,0.003379351,Bonelli's Eagle
2000-2006,0.040833354,0.004775148,Bonelli's Eagle
2007-2010,0.046807097,0.005189652,Bonelli's Eagle
2011-2012,0.036001143,0.004115038,Bonelli's Eagle
2013,0.029783413,0.003334536,Bonelli's Eagle
2014,0.031135698,0.00304995,Bonelli's Eagle
2015,0.027882738,0.002702928,Bonelli's Eagle
2016,0.027593298,0.002633674,Bonelli's Eagle
2017,0.029581922,0.002816097,Bonelli's Eagle
2018,0.02948923,0.002791372,Bonelli's Eagle
before 2000,0.019291457,0.004527287,Booted Eagle
2000-2006,0.021097247,0.004879626,Booted Eagle
2007-2010,0.026932185,0.006016533,Booted Eagle
2011-2012,0.028296345,0.006293565,Booted Eagle
2013,0.024444188,0.005466128,Booted Eagle
2014,0.023937853,0.005156464,Booted Eagle
2015,0.019086729,0.004121002,Booted Eagle
2016,0.021519057,0.004627351,Booted Eagle
2017,0.019169438,0.004124553,Booted Eagle
2018,0.021046896,0.004510637,Booted Eagle
before 2000,0.034499277,0.004341953,Booted Warbler
2000-2006,0.024184712,0.003162636,Booted Warbler
2007-2010,0.033224546,0.003975564,Booted Warbler
2011-2012,0.035500411,0.004252769,Booted Warbler
2013,0.02962542,0.00333114,Booted Warbler
2014,0.022705543,0.002513439,Booted Warbler
2015,0.021518761,0.002274508,Booted Warbler
2016,0.026286353,0.002759304,Booted Warbler
2017,0.027855836,0.002888801,Booted Warbler
2018,0.028867412,0.002986612,Booted Warbler
before 2000,0.114651425,0.012469445,Brahminy Kite
2000-2006,0.07000802,0.007908912,Brahminy Kite
2007-2010,0.102385397,0.011107378,Brahminy Kite
2011-2012,0.099030845,0.01076052,Brahminy Kite
2013,0.101141678,0.010576554,Brahminy Kite
2014,0.094749422,0.009768355,Brahminy Kite
2015,0.102302794,0.010424449,Brahminy Kite
2016,0.088258187,0.009034732,Brahminy Kite
2017,0.097249849,0.009892833,Brahminy Kite
2018,0.10022738,0.010174593,Brahminy Kite
before 2000,0.179985318,0.012538105,Brahminy Starling
2000-2006,0.162198794,0.011529382,Brahminy Starling
2007-2010,0.152947623,0.010845996,Brahminy Starling
2011-2012,0.16822015,0.011871576,Brahminy Starling
2013,0.179535951,0.012018302,Brahminy Starling
2014,0.166222822,0.010601104,Brahminy Starling
2015,0.174988415,0.010999242,Brahminy Starling
2016,0.166042777,0.010527251,Brahminy Starling
2017,0.173436844,0.010777869,Brahminy Starling
2018,0.178112246,0.011052932,Brahminy Starling
before 2000,NA,NA,Bristled Grassbird
2000-2006,NA,NA,Bristled Grassbird
2007-2010,NA,NA,Bristled Grassbird
2011-2012,NA,NA,Bristled Grassbird
2013,NA,NA,Bristled Grassbird
2014,NA,NA,Bristled Grassbird
2015,NA,NA,Bristled Grassbird
2016,NA,NA,Bristled Grassbird
2017,NA,NA,Bristled Grassbird
2018,NA,NA,Bristled Grassbird
before 2000,NA,NA,Broad-billed Sandpiper
2000-2006,NA,NA,Broad-billed Sandpiper
2007-2010,NA,NA,Broad-billed Sandpiper
2011-2012,NA,NA,Broad-billed Sandpiper
2013,NA,NA,Broad-billed Sandpiper
2014,0.00814526,0.003529618,Broad-billed Sandpiper
2015,0.004342532,0.001850046,Broad-billed Sandpiper
2016,0.002763303,0.001184158,Broad-billed Sandpiper
2017,0.005956616,0.00247831,Broad-billed Sandpiper
2018,0.005153775,0.002146294,Broad-billed Sandpiper
before 2000,NA,NA,Broad-billed Warbler
2000-2006,NA,NA,Broad-billed Warbler
2007-2010,NA,NA,Broad-billed Warbler
2011-2012,NA,NA,Broad-billed Warbler
2013,NA,NA,Broad-billed Warbler
2014,0.009920576,0.004302179,Broad-billed Warbler
2015,0.008302855,0.003628986,Broad-billed Warbler
2016,0.010727507,0.004475934,Broad-billed Warbler
2017,0.008510562,0.003532335,Broad-billed Warbler
2018,0.013399206,0.005419392,Broad-billed Warbler
before 2000,NA,NA,Broad-tailed Grassbird
2000-2006,NA,NA,Broad-tailed Grassbird
2007-2010,NA,NA,Broad-tailed Grassbird
2011-2012,NA,NA,Broad-tailed Grassbird
2013,NA,NA,Broad-tailed Grassbird
2014,NA,NA,Broad-tailed Grassbird
2015,NA,NA,Broad-tailed Grassbird
2016,NA,NA,Broad-tailed Grassbird
2017,NA,NA,Broad-tailed Grassbird
2018,NA,NA,Broad-tailed Grassbird
before 2000,0.083395838,0.007677496,Bronze-winged Jacana
2000-2006,0.08547546,0.00795679,Bronze-winged Jacana
2007-2010,0.090527631,0.008162116,Bronze-winged Jacana
2011-2012,0.114067879,0.010276568,Bronze-winged Jacana
2013,0.115522491,0.009854929,Bronze-winged Jacana
2014,0.102909566,0.008535606,Bronze-winged Jacana
2015,0.094650773,0.007777888,Bronze-winged Jacana
2016,0.093463994,0.007714999,Bronze-winged Jacana
2017,0.080504605,0.006644065,Bronze-winged Jacana
2018,0.082278992,0.006776196,Bronze-winged Jacana
before 2000,0.113355463,0.013309669,Bronzed Drongo
2000-2006,0.110908259,0.01281536,Bronzed Drongo
2007-2010,0.108236638,0.012258946,Bronzed Drongo
2011-2012,0.074724597,0.009002126,Bronzed Drongo
2013,0.061273754,0.007082509,Bronzed Drongo
2014,0.070792127,0.007719046,Bronzed Drongo
2015,0.062910383,0.006927058,Bronzed Drongo
2016,0.064337539,0.007019217,Bronzed Drongo
2017,0.067677192,0.007375724,Bronzed Drongo
2018,0.073944507,0.008034375,Bronzed Drongo
before 2000,NA,NA,Brooks's Leaf Warbler
2000-2006,NA,NA,Brooks's Leaf Warbler
2007-2010,NA,NA,Brooks's Leaf Warbler
2011-2012,NA,NA,Brooks's Leaf Warbler
2013,NA,NA,Brooks's Leaf Warbler
2014,NA,NA,Brooks's Leaf Warbler
2015,NA,NA,Brooks's Leaf Warbler
2016,NA,NA,Brooks's Leaf Warbler
2017,NA,NA,Brooks's Leaf Warbler
2018,NA,NA,Brooks's Leaf Warbler
before 2000,0.028813829,0.008019133,Brown-backed Needletail
2000-2006,0.011556436,0.003439817,Brown-backed Needletail
2007-2010,0.023268933,0.006349981,Brown-backed Needletail
2011-2012,0.019819891,0.005578077,Brown-backed Needletail
2013,0.011560863,0.00322366,Brown-backed Needletail
2014,0.01490734,0.003958863,Brown-backed Needletail
2015,0.012653359,0.003345768,Brown-backed Needletail
2016,0.010188065,0.002694707,Brown-backed Needletail
2017,0.009245169,0.002435906,Brown-backed Needletail
2018,0.010167601,0.002687231,Brown-backed Needletail
before 2000,0.009678803,0.002056697,Brown-breasted Flycatcher
2000-2006,0.015487389,0.003057726,Brown-breasted Flycatcher
2007-2010,0.023690497,0.004130054,Brown-breasted Flycatcher
2011-2012,0.012111293,0.002345832,Brown-breasted Flycatcher
2013,0.008862625,0.001658988,Brown-breasted Flycatcher
2014,0.00881033,0.001449425,Brown-breasted Flycatcher
2015,0.009232352,0.001475277,Brown-breasted Flycatcher
2016,0.009271649,0.00144182,Brown-breasted Flycatcher
2017,0.009147442,0.001414085,Brown-breasted Flycatcher
2018,0.009515528,0.001475467,Brown-breasted Flycatcher
before 2000,NA,NA,Brown-capped Laughingthrush
2000-2006,NA,NA,Brown-capped Laughingthrush
2007-2010,NA,NA,Brown-capped Laughingthrush
2011-2012,NA,NA,Brown-capped Laughingthrush
2013,NA,NA,Brown-capped Laughingthrush
2014,NA,NA,Brown-capped Laughingthrush
2015,NA,NA,Brown-capped Laughingthrush
2016,NA,NA,Brown-capped Laughingthrush
2017,NA,NA,Brown-capped Laughingthrush
2018,NA,NA,Brown-capped Laughingthrush
before 2000,0.088692467,0.009235266,Brown-capped Woodpecker
2000-2006,0.06062427,0.006544141,Brown-capped Woodpecker
2007-2010,0.061252734,0.006456968,Brown-capped Woodpecker
2011-2012,0.047502791,0.005156663,Brown-capped Woodpecker
2013,0.039124848,0.004117555,Brown-capped Woodpecker
2014,0.041778049,0.004053176,Brown-capped Woodpecker
2015,0.035013653,0.003357568,Brown-capped Woodpecker
2016,0.034786023,0.003320397,Brown-capped Woodpecker
2017,0.039599329,0.00376548,Brown-capped Woodpecker
2018,0.035927716,0.003419293,Brown-capped Woodpecker
before 2000,0.124386473,0.015585546,Brown-cheeked Fulvetta
2000-2006,0.125313206,0.015779175,Brown-cheeked Fulvetta
2007-2010,0.079996024,0.010228435,Brown-cheeked Fulvetta
2011-2012,0.03928331,0.005469187,Brown-cheeked Fulvetta
2013,0.028055076,0.003709779,Brown-cheeked Fulvetta
2014,0.025633272,0.003219254,Brown-cheeked Fulvetta
2015,0.0239686,0.002923256,Brown-cheeked Fulvetta
2016,0.029276474,0.003547254,Brown-cheeked Fulvetta
2017,0.028464259,0.003467089,Brown-cheeked Fulvetta
2018,0.028614432,0.003468604,Brown-cheeked Fulvetta
before 2000,0.084724591,0.019046244,Brown-fronted Woodpecker
2000-2006,0.055318115,0.012736703,Brown-fronted Woodpecker
2007-2010,0.058577465,0.012815558,Brown-fronted Woodpecker
2011-2012,0.072222042,0.015292975,Brown-fronted Woodpecker
2013,0.084087864,0.017133162,Brown-fronted Woodpecker
2014,0.066819246,0.012971626,Brown-fronted Woodpecker
2015,0.053632543,0.010322333,Brown-fronted Woodpecker
2016,0.045319233,0.008805681,Brown-fronted Woodpecker
2017,0.063778363,0.012196866,Brown-fronted Woodpecker
2018,0.064274832,0.012212665,Brown-fronted Woodpecker
before 2000,0.091913787,0.009977472,Brown-headed Barbet
2000-2006,0.089219853,0.009632086,Brown-headed Barbet
2007-2010,0.092532797,0.009494811,Brown-headed Barbet
2011-2012,0.116818859,0.011935377,Brown-headed Barbet
2013,0.104555259,0.010647757,Brown-headed Barbet
2014,0.114125694,0.010661348,Brown-headed Barbet
2015,0.114806715,0.010874725,Brown-headed Barbet
2016,0.116039462,0.01083873,Brown-headed Barbet
2017,0.131501631,0.012132368,Brown-headed Barbet
2018,0.112670008,0.010527498,Brown-headed Barbet
before 2000,0.075504194,0.017782907,Brown-headed Gull
2000-2006,0.042544191,0.010058124,Brown-headed Gull
2007-2010,0.040520885,0.009468462,Brown-headed Gull
2011-2012,0.041398422,0.009689351,Brown-headed Gull
2013,0.039096217,0.009027078,Brown-headed Gull
2014,0.02292089,0.005261619,Brown-headed Gull
2015,0.027075371,0.006184017,Brown-headed Gull
2016,0.021627242,0.004935085,Brown-headed Gull
2017,0.020001926,0.004568512,Brown-headed Gull
2018,0.020094437,0.004590135,Brown-headed Gull
before 2000,NA,NA,Brown Bullfinch
2000-2006,NA,NA,Brown Bullfinch
2007-2010,NA,NA,Brown Bullfinch
2011-2012,NA,NA,Brown Bullfinch
2013,NA,NA,Brown Bullfinch
2014,NA,NA,Brown Bullfinch
2015,NA,NA,Brown Bullfinch
2016,NA,NA,Brown Bullfinch
2017,NA,NA,Brown Bullfinch
2018,NA,NA,Brown Bullfinch
before 2000,0.038948512,0.006670941,Brown Crake
2000-2006,0.048595289,0.008123808,Brown Crake
2007-2010,0.028467131,0.005086468,Brown Crake
2011-2012,0.023250465,0.004264834,Brown Crake
2013,0.018336893,0.003313097,Brown Crake
2014,0.020197822,0.003199717,Brown Crake
2015,0.022223377,0.003384191,Brown Crake
2016,0.018128748,0.002760044,Brown Crake
2017,0.018849953,0.002809378,Brown Crake
2018,0.016455687,0.002453091,Brown Crake
before 2000,0.120892638,0.025328406,Brown Dipper
2000-2006,0.086369573,0.018674388,Brown Dipper
2007-2010,0.074161176,0.015978878,Brown Dipper
2011-2012,0.11237143,0.023291423,Brown Dipper
2013,0.080595247,0.017204249,Brown Dipper
2014,0.067579288,0.013569478,Brown Dipper
2015,0.064644761,0.013081202,Brown Dipper
2016,0.0692155,0.013702334,Brown Dipper
2017,0.079129117,0.015524411,Brown Dipper
2018,0.069937095,0.013847276,Brown Dipper
before 2000,0.029055168,0.003684861,Brown Fish-Owl
2000-2006,0.027837857,0.003466909,Brown Fish-Owl
2007-2010,0.032236335,0.003843785,Brown Fish-Owl
2011-2012,0.037735516,0.004365784,Brown Fish-Owl
2013,0.032633797,0.003579419,Brown Fish-Owl
2014,0.024950743,0.002564059,Brown Fish-Owl
2015,0.022007225,0.002248951,Brown Fish-Owl
2016,0.020943508,0.002083029,Brown Fish-Owl
2017,0.021554552,0.002108864,Brown Fish-Owl
2018,0.017579739,0.001736225,Brown Fish-Owl
before 2000,NA,NA,Brown Hornbill
2000-2006,NA,NA,Brown Hornbill
2007-2010,NA,NA,Brown Hornbill
2011-2012,NA,NA,Brown Hornbill
2013,NA,NA,Brown Hornbill
2014,NA,NA,Brown Hornbill
2015,NA,NA,Brown Hornbill
2016,NA,NA,Brown Hornbill
2017,NA,NA,Brown Hornbill
2018,NA,NA,Brown Hornbill
before 2000,0.062960299,0.007392946,Brown Shrike
2000-2006,0.032395494,0.004094671,Brown Shrike
2007-2010,0.050935498,0.00618647,Brown Shrike
2011-2012,0.055474795,0.006782606,Brown Shrike
2013,0.053259636,0.006056402,Brown Shrike
2014,0.053646468,0.005838767,Brown Shrike
2015,0.041016982,0.00442843,Brown Shrike
2016,0.043983745,0.00474664,Brown Shrike
2017,0.044287603,0.004786365,Brown Shrike
2018,0.043027261,0.004665706,Brown Shrike
before 2000,0.043839523,0.012869805,Brownish-flanked Bush Warbler
2000-2006,0.058803391,0.016765237,Brownish-flanked Bush Warbler
2007-2010,0.036182742,0.01059163,Brownish-flanked Bush Warbler
2011-2012,0.031278617,0.009236618,Brownish-flanked Bush Warbler
2013,0.023914268,0.007175282,Brownish-flanked Bush Warbler
2014,0.030540554,0.008467163,Brownish-flanked Bush Warbler
2015,0.024748617,0.00671034,Brownish-flanked Bush Warbler
2016,0.03059452,0.008227047,Brownish-flanked Bush Warbler
2017,0.028822117,0.007700839,Brownish-flanked Bush Warbler
2018,0.031683524,0.008472442,Brownish-flanked Bush Warbler
before 2000,0.040417171,0.019305879,Buff-barred Warbler
2000-2006,0.034505863,0.01670222,Buff-barred Warbler
2007-2010,0.02093478,0.010184418,Buff-barred Warbler
2011-2012,0.036086105,0.017359344,Buff-barred Warbler
2013,0.023605835,0.011379708,Buff-barred Warbler
2014,0.02286227,0.010906137,Buff-barred Warbler
2015,0.017777592,0.008463419,Buff-barred Warbler
2016,0.022972466,0.010880004,Buff-barred Warbler
2017,0.025812603,0.01221182,Buff-barred Warbler
2018,0.0227733,0.01081561,Buff-barred Warbler
before 2000,NA,NA,Buff-chested Babbler
2000-2006,NA,NA,Buff-chested Babbler
2007-2010,NA,NA,Buff-chested Babbler
2011-2012,NA,NA,Buff-chested Babbler
2013,NA,NA,Buff-chested Babbler
2014,NA,NA,Buff-chested Babbler
2015,NA,NA,Buff-chested Babbler
2016,NA,NA,Buff-chested Babbler
2017,NA,NA,Buff-chested Babbler
2018,NA,NA,Buff-chested Babbler
before 2000,NA,NA,Bugun Liocichla
2000-2006,NA,NA,Bugun Liocichla
2007-2010,NA,NA,Bugun Liocichla
2011-2012,NA,NA,Bugun Liocichla
2013,NA,NA,Bugun Liocichla
2014,NA,NA,Bugun Liocichla
2015,NA,NA,Bugun Liocichla
2016,NA,NA,Bugun Liocichla
2017,NA,NA,Bugun Liocichla
2018,NA,NA,Bugun Liocichla
before 2000,NA,NA,Cachar Bulbul
2000-2006,NA,NA,Cachar Bulbul
2007-2010,NA,NA,Cachar Bulbul
2011-2012,NA,NA,Cachar Bulbul
2013,NA,NA,Cachar Bulbul
2014,NA,NA,Cachar Bulbul
2015,NA,NA,Cachar Bulbul
2016,NA,NA,Cachar Bulbul
2017,NA,NA,Cachar Bulbul
2018,NA,NA,Cachar Bulbul
before 2000,0.052322699,0.014402896,Caspian Tern
2000-2006,0.02571351,0.007498473,Caspian Tern
2007-2010,0.039679751,0.01086233,Caspian Tern
2011-2012,0.03643581,0.009962443,Caspian Tern
2013,0.031934247,0.008578509,Caspian Tern
2014,0.023403219,0.006235663,Caspian Tern
2015,0.021577636,0.005701973,Caspian Tern
2016,0.029384375,0.007754485,Caspian Tern
2017,0.028620221,0.007534904,Caspian Tern
2018,0.022119389,0.005838413,Caspian Tern
before 2000,0.271131243,0.011451955,Cattle Egret
2000-2006,0.310899301,0.012587848,Cattle Egret
2007-2010,0.329101841,0.012727425,Cattle Egret
2011-2012,0.363904499,0.013666622,Cattle Egret
2013,0.385760697,0.013443336,Cattle Egret
2014,0.373162575,0.012063811,Cattle Egret
2015,0.327089459,0.01086244,Cattle Egret
2016,0.333686981,0.010983307,Cattle Egret
2017,0.328341582,0.010827731,Cattle Egret
2018,0.316512462,0.010593957,Cattle Egret
before 2000,NA,NA,Cheer Pheasant
2000-2006,NA,NA,Cheer Pheasant
2007-2010,NA,NA,Cheer Pheasant
2011-2012,NA,NA,Cheer Pheasant
2013,NA,NA,Cheer Pheasant
2014,NA,NA,Cheer Pheasant
2015,NA,NA,Cheer Pheasant
2016,NA,NA,Cheer Pheasant
2017,NA,NA,Cheer Pheasant
2018,NA,NA,Cheer Pheasant
before 2000,NA,NA,Chestnut-backed Laughingthrush
2000-2006,NA,NA,Chestnut-backed Laughingthrush
2007-2010,NA,NA,Chestnut-backed Laughingthrush
2011-2012,NA,NA,Chestnut-backed Laughingthrush
2013,NA,NA,Chestnut-backed Laughingthrush
2014,NA,NA,Chestnut-backed Laughingthrush
2015,NA,NA,Chestnut-backed Laughingthrush
2016,NA,NA,Chestnut-backed Laughingthrush
2017,NA,NA,Chestnut-backed Laughingthrush
2018,NA,NA,Chestnut-backed Laughingthrush
before 2000,0.049760969,0.009032334,Chestnut-bellied Nuthatch
2000-2006,0.059153059,0.010701282,Chestnut-bellied Nuthatch
2007-2010,0.070303294,0.012052,Chestnut-bellied Nuthatch
2011-2012,0.047053184,0.008405791,Chestnut-bellied Nuthatch
2013,0.041031966,0.00715985,Chestnut-bellied Nuthatch
2014,0.04728713,0.007500834,Chestnut-bellied Nuthatch
2015,0.041871259,0.006536935,Chestnut-bellied Nuthatch
2016,0.043628679,0.006754656,Chestnut-bellied Nuthatch
2017,0.051196352,0.007766219,Chestnut-bellied Nuthatch
2018,0.051297165,0.007821704,Chestnut-bellied Nuthatch
before 2000,0.05520096,0.011715161,Chestnut-bellied Rock-Thrush
2000-2006,0.056586164,0.011648345,Chestnut-bellied Rock-Thrush
2007-2010,0.049544806,0.010058958,Chestnut-bellied Rock-Thrush
2011-2012,0.079783789,0.015028015,Chestnut-bellied Rock-Thrush
2013,0.058727693,0.011410203,Chestnut-bellied Rock-Thrush
2014,0.057540205,0.010487336,Chestnut-bellied Rock-Thrush
2015,0.059439215,0.010391201,Chestnut-bellied Rock-Thrush
2016,0.045250221,0.007975323,Chestnut-bellied Rock-Thrush
2017,0.044606007,0.007746575,Chestnut-bellied Rock-Thrush
2018,0.052404312,0.009191928,Chestnut-bellied Rock-Thrush
before 2000,0.129251495,0.018646351,Chestnut-bellied Sandgrouse
2000-2006,0.122966647,0.018184034,Chestnut-bellied Sandgrouse
2007-2010,0.071840762,0.011026427,Chestnut-bellied Sandgrouse
2011-2012,0.071379682,0.011069811,Chestnut-bellied Sandgrouse
2013,0.053081648,0.008262757,Chestnut-bellied Sandgrouse
2014,0.05771559,0.008279288,Chestnut-bellied Sandgrouse
2015,0.052968554,0.007545439,Chestnut-bellied Sandgrouse
2016,0.056609752,0.007949539,Chestnut-bellied Sandgrouse
2017,0.059582191,0.008317105,Chestnut-bellied Sandgrouse
2018,0.060583505,0.008431321,Chestnut-bellied Sandgrouse
before 2000,NA,NA,Chestnut-breasted Bunting
2000-2006,NA,NA,Chestnut-breasted Bunting
2007-2010,NA,NA,Chestnut-breasted Bunting
2011-2012,NA,NA,Chestnut-breasted Bunting
2013,NA,NA,Chestnut-breasted Bunting
2014,0.02024602,0.0103609,Chestnut-breasted Bunting
2015,0.034236063,0.017218835,Chestnut-breasted Bunting
2016,0.036814428,0.018373569,Chestnut-breasted Bunting
2017,0.031546445,0.015873261,Chestnut-breasted Bunting
2018,0.028690398,0.014263075,Chestnut-breasted Bunting
before 2000,NA,NA,Chestnut-breasted Partridge
2000-2006,NA,NA,Chestnut-breasted Partridge
2007-2010,NA,NA,Chestnut-breasted Partridge
2011-2012,NA,NA,Chestnut-breasted Partridge
2013,NA,NA,Chestnut-breasted Partridge
2014,NA,NA,Chestnut-breasted Partridge
2015,NA,NA,Chestnut-breasted Partridge
2016,NA,NA,Chestnut-breasted Partridge
2017,NA,NA,Chestnut-breasted Partridge
2018,NA,NA,Chestnut-breasted Partridge
before 2000,NA,NA,Chestnut-capped Babbler
2000-2006,NA,NA,Chestnut-capped Babbler
2007-2010,NA,NA,Chestnut-capped Babbler
2011-2012,NA,NA,Chestnut-capped Babbler
2013,NA,NA,Chestnut-capped Babbler
2014,0.04291191,0.052958795,Chestnut-capped Babbler
2015,0.040503816,0.050228131,Chestnut-capped Babbler
2016,0.057327898,0.070389968,Chestnut-capped Babbler
2017,0.059775529,0.072953523,Chestnut-capped Babbler
2018,0.060309104,0.073411791,Chestnut-capped Babbler
before 2000,0.037646475,0.011954606,Chestnut-crowned Laughingthrush
2000-2006,0.052024938,0.015450219,Chestnut-crowned Laughingthrush
2007-2010,0.051906175,0.015312551,Chestnut-crowned Laughingthrush
2011-2012,0.046600005,0.01398507,Chestnut-crowned Laughingthrush
2013,0.067958291,0.019531734,Chestnut-crowned Laughingthrush
2014,0.066203473,0.018525486,Chestnut-crowned Laughingthrush
2015,0.054582119,0.015222064,Chestnut-crowned Laughingthrush
2016,0.043060414,0.01203856,Chestnut-crowned Laughingthrush
2017,0.042086911,0.011854882,Chestnut-crowned Laughingthrush
2018,0.049862408,0.013887304,Chestnut-crowned Laughingthrush
before 2000,NA,NA,Chestnut-crowned Warbler
2000-2006,NA,NA,Chestnut-crowned Warbler
2007-2010,NA,NA,Chestnut-crowned Warbler
2011-2012,NA,NA,Chestnut-crowned Warbler
2013,NA,NA,Chestnut-crowned Warbler
2014,0.029319426,0.020035361,Chestnut-crowned Warbler
2015,0.027585503,0.018595757,Chestnut-crowned Warbler
2016,0.030078143,0.020406109,Chestnut-crowned Warbler
2017,0.038347666,0.025793054,Chestnut-crowned Warbler
2018,0.032285416,0.021955854,Chestnut-crowned Warbler
before 2000,0.037971436,0.005550906,Chestnut-headed Bee-eater
2000-2006,0.023283948,0.003631728,Chestnut-headed Bee-eater
2007-2010,0.038518945,0.005599484,Chestnut-headed Bee-eater
2011-2012,0.040740824,0.005915401,Chestnut-headed Bee-eater
2013,0.039646376,0.005610415,Chestnut-headed Bee-eater
2014,0.037395517,0.005112302,Chestnut-headed Bee-eater
2015,0.034832648,0.004693956,Chestnut-headed Bee-eater
