Time.Bands,Frequency,SE,Species
2015,0.009746098,0.010667098,Greater Short-toed Lark
2016,0.032603775,0.03538649,Greater Short-toed Lark
2017,0.03765927,0.040764522,Greater Short-toed Lark
2018,0.036452064,0.039476072,Greater Short-toed Lark
2014,0.013328516,0.002420412,Greater Spotted Eagle
2015,0.010865616,0.001942849,Greater Spotted Eagle
2016,0.011830745,0.002089067,Greater Spotted Eagle
2017,0.011308397,0.002003082,Greater Spotted Eagle
2018,0.01191001,0.00210469,Greater Spotted Eagle
2014,0.049782976,0.009560612,Greater Yellownape
2015,0.044984323,0.008412604,Greater Yellownape
2016,0.055867268,0.010477567,Greater Yellownape
2017,0.063679639,0.011527946,Greater Yellownape
2018,0.057605134,0.010555051,Greater Yellownape
2014,0.119085018,0.023209928,Green-backed Tit
2015,0.136915115,0.025770197,Green-backed Tit
2016,0.105958171,0.020356315,Green-backed Tit
2017,0.097218881,0.018747829,Green-backed Tit
2018,0.10383645,0.019703998,Green-backed Tit
2014,0.116188065,0.024008098,Green-billed Malkoha
2015,0.109825319,0.022191189,Green-billed Malkoha
2016,0.119084359,0.023683665,Green-billed Malkoha
2017,0.141616683,0.027713124,Green-billed Malkoha
2018,0.139634852,0.027209034,Green-billed Malkoha
2014,0.079641047,0.017379698,Green-tailed Sunbird
2015,0.087606982,0.018778451,Green-tailed Sunbird
2016,0.062829458,0.013616259,Green-tailed Sunbird
2017,0.072046301,0.015501245,Green-tailed Sunbird
2018,0.06877777,0.014751329,Green-tailed Sunbird
2014,0.025581712,0.005780603,Green-winged Teal
2015,0.027493476,0.006188279,Green-winged Teal
2016,0.031362461,0.006981181,Green-winged Teal
2017,0.026985295,0.006073279,Green-winged Teal
2018,0.028492133,0.006398653,Green-winged Teal
2014,NA,NA,Green Avadavat
2015,NA,NA,Green Avadavat
2016,NA,NA,Green Avadavat
2017,NA,NA,Green Avadavat
2018,NA,NA,Green Avadavat
2014,0.376219709,0.014781759,Green Bee-eater
2015,0.332743467,0.01333537,Green Bee-eater
2016,0.333945863,0.013356711,Green Bee-eater
2017,0.341293398,0.013578618,Green Bee-eater
2018,0.341667534,0.013566592,Green Bee-eater
2014,0.040959693,0.00694509,Green Imperial-Pigeon
2015,0.034025256,0.005746399,Green Imperial-Pigeon
2016,0.03122507,0.0052652,Green Imperial-Pigeon
2017,0.031877563,0.005422719,Green Imperial-Pigeon
2018,0.031404814,0.005330739,Green Imperial-Pigeon
2014,0.039455428,0.00291064,Green Sandpiper
2015,0.037105223,0.002676832,Green Sandpiper
2016,0.038717484,0.002759838,Green Sandpiper
2017,0.038148597,0.002684843,Green Sandpiper
2018,0.036775326,0.00256357,Green Sandpiper
2014,0.011724017,0.006834003,Green Shrike-Babbler
2015,0.007257093,0.004270232,Green Shrike-Babbler
2016,0.010171049,0.005816292,Green Shrike-Babbler
2017,0.011279243,0.006425454,Green Shrike-Babbler
2018,0.014847573,0.008421296,Green Shrike-Babbler
2014,NA,NA,Green Warbler
2015,NA,NA,Green Warbler
2016,NA,NA,Green Warbler
2017,NA,NA,Green Warbler
2018,NA,NA,Green Warbler
2014,0.058279452,0.005651825,Greenish Warbler
2015,0.055131643,0.00531645,Greenish Warbler
2016,0.058972109,0.005667655,Greenish Warbler
2017,0.064460674,0.006138614,Greenish Warbler
2018,0.065431483,0.006206015,Greenish Warbler
2014,0.028860236,0.004707672,Gull-billed Tern
2015,0.032165206,0.005224988,Gull-billed Tern
2016,0.037094623,0.005994028,Gull-billed Tern
2017,0.031287258,0.005065132,Gull-billed Tern
2018,0.028947866,0.004690885,Gull-billed Tern
2014,0.030175559,0.005038325,Hair-crested Drongo
2015,0.027538832,0.004594129,Hair-crested Drongo
2016,0.029827537,0.004971396,Hair-crested Drongo
2017,0.030696472,0.005088822,Hair-crested Drongo
2018,0.032030124,0.005279154,Hair-crested Drongo
2014,0.020109774,0.003240567,Heart-spotted Woodpecker
2015,0.01385273,0.002234855,Heart-spotted Woodpecker
2016,0.013250415,0.002106012,Heart-spotted Woodpecker
2017,0.014562719,0.002307496,Heart-spotted Woodpecker
2018,0.013025746,0.00207013,Heart-spotted Woodpecker
2014,0.034626114,0.008091017,Hill Partridge
2015,0.026418281,0.006176876,Hill Partridge
2016,0.022001988,0.005054169,Hill Partridge
2017,0.021676858,0.004974002,Hill Partridge
2018,0.028358958,0.006458969,Hill Partridge
2014,0.128080172,0.045181396,Hill Pigeon
2015,0.129482451,0.045044927,Hill Pigeon
2016,0.151903635,0.051859041,Hill Pigeon
2017,0.133070244,0.04612703,Hill Pigeon
2018,0.187924465,0.063224864,Hill Pigeon
2014,0.007726216,0.001849066,Hill Swallow
2015,0.007263914,0.001704394,Hill Swallow
2016,0.006227375,0.001422406,Hill Swallow
2017,0.006168842,0.00142256,Hill Swallow
2018,0.008485783,0.001923605,Hill Swallow
2014,NA,NA,Himalayan Accentor
2015,NA,NA,Himalayan Accentor
2016,NA,NA,Himalayan Accentor
2017,NA,NA,Himalayan Accentor
2018,NA,NA,Himalayan Accentor
2014,0.039522361,0.010430934,Himalayan Black-lored Tit
2015,0.036414377,0.009530376,Himalayan Black-lored Tit
2016,0.025320294,0.006627038,Himalayan Black-lored Tit
2017,0.031598239,0.008152658,Himalayan Black-lored Tit
2018,0.028432603,0.007400937,Himalayan Black-lored Tit
2014,0.046251812,0.012641546,Himalayan Bluetail
2015,0.056899046,0.014908858,Himalayan Bluetail
2016,0.05712815,0.015053698,Himalayan Bluetail
2017,0.054582731,0.014238463,Himalayan Bluetail
2018,0.061318457,0.015892817,Himalayan Bluetail
2014,0.225077342,0.041728832,Himalayan Bulbul
2015,0.256293664,0.046061703,Himalayan Bulbul
2016,0.248055201,0.044794078,Himalayan Bulbul
2017,0.236138212,0.042802099,Himalayan Bulbul
2018,0.242873298,0.043760934,Himalayan Bulbul
2014,0.030749911,0.009014609,Himalayan Buzzard
2015,0.031085741,0.008975109,Himalayan Buzzard
2016,0.025765873,0.007501283,Himalayan Buzzard
2017,0.039552792,0.011340869,Himalayan Buzzard
2018,0.033838442,0.009698143,Himalayan Buzzard
2014,0.071605369,0.014008886,Himalayan Cuckoo
2015,0.0492306,0.009815553,Himalayan Cuckoo
2016,0.050920423,0.009739622,Himalayan Cuckoo
2017,0.052437747,0.010015123,Himalayan Cuckoo
2018,0.053461705,0.01003531,Himalayan Cuckoo
2014,NA,NA,Himalayan Cutia
2015,NA,NA,Himalayan Cutia
2016,NA,NA,Himalayan Cutia
2017,NA,NA,Himalayan Cutia
2018,NA,NA,Himalayan Cutia
2014,0.015603091,0.004580814,Himalayan Flameback
2015,0.01709057,0.004746129,Himalayan Flameback
2016,0.018216834,0.005043164,Himalayan Flameback
2017,0.017860393,0.004897753,Himalayan Flameback
2018,0.01348719,0.003708045,Himalayan Flameback
2014,0.081638944,0.017434632,Himalayan Griffon
2015,0.078767124,0.016760212,Himalayan Griffon
2016,0.068819161,0.0146038,Himalayan Griffon
2017,0.070959355,0.01501599,Himalayan Griffon
2018,0.070922694,0.014975551,Himalayan Griffon
2014,0.037497634,0.017834742,Himalayan Monal
2015,0.042443619,0.019871146,Himalayan Monal
2016,0.051380434,0.023869288,Himalayan Monal
2017,0.044542714,0.020689621,Himalayan Monal
2018,0.045089365,0.021000481,Himalayan Monal
2014,NA,NA,Himalayan Quail
2015,NA,NA,Himalayan Quail
2016,NA,NA,Himalayan Quail
2017,NA,NA,Himalayan Quail
2018,NA,NA,Himalayan Quail
2014,0.013702758,0.013659543,Himalayan Rubythroat
2015,0.034469597,0.033587396,Himalayan Rubythroat
2016,0.015994368,0.015831383,Himalayan Rubythroat
2017,0.030754797,0.030249228,Himalayan Rubythroat
2018,0.025294638,0.024791101,Himalayan Rubythroat
2014,NA,NA,Himalayan Shrike-Babbler
2015,NA,NA,Himalayan Shrike-Babbler
2016,NA,NA,Himalayan Shrike-Babbler
2017,NA,NA,Himalayan Shrike-Babbler
2018,NA,NA,Himalayan Shrike-Babbler
2014,NA,NA,Himalayan Snowcock
2015,NA,NA,Himalayan Snowcock
2016,NA,NA,Himalayan Snowcock
2017,NA,NA,Himalayan Snowcock
2018,NA,NA,Himalayan Snowcock
2014,0.0391778,0.009305965,Himalayan Swiftlet
2015,0.026491535,0.006315231,Himalayan Swiftlet
2016,0.03140464,0.007301122,Himalayan Swiftlet
2017,0.028647451,0.006583767,Himalayan Swiftlet
2018,0.028182196,0.00650321,Himalayan Swiftlet
2014,NA,NA,Himalayan White-browed Rosefinch
2015,NA,NA,Himalayan White-browed Rosefinch
2016,NA,NA,Himalayan White-browed Rosefinch
2017,NA,NA,Himalayan White-browed Rosefinch
2018,NA,NA,Himalayan White-browed Rosefinch
2014,0.098023793,0.025560893,Himalayan Woodpecker
2015,0.080227547,0.020799658,Himalayan Woodpecker
2016,0.066834372,0.017560527,Himalayan Woodpecker
2017,0.070869681,0.018526185,Himalayan Woodpecker
2018,0.070657142,0.018401948,Himalayan Woodpecker
2014,0.037386724,0.013098411,Hoary-throated Barwing
2015,0.027411105,0.00904781,Hoary-throated Barwing
2016,0.022451306,0.007576181,Hoary-throated Barwing
2017,0.024702615,0.008293061,Hoary-throated Barwing
2018,0.03214439,0.010077587,Hoary-throated Barwing
2014,NA,NA,Hodgson's Treecreeper
2015,NA,NA,Hodgson's Treecreeper
2016,NA,NA,Hodgson's Treecreeper
2017,NA,NA,Hodgson's Treecreeper
2018,NA,NA,Hodgson's Treecreeper
2014,0.389401932,0.013892147,House Crow
2015,0.406023654,0.013975902,House Crow
2016,0.384533411,0.013283454,House Crow
2017,0.400340362,0.013707387,House Crow
2018,0.420448446,0.014054667,House Crow
2014,0.293016375,0.011142268,House Sparrow
2015,0.281809861,0.010608076,House Sparrow
2016,0.273441215,0.010411556,House Sparrow
2017,0.274352845,0.01037627,House Sparrow
2018,0.273885129,0.010347573,House Sparrow
2014,NA,NA,Hume's Bush Warbler
2015,NA,NA,Hume's Bush Warbler
2016,NA,NA,Hume's Bush Warbler
2017,NA,NA,Hume's Bush Warbler
2018,NA,NA,Hume's Bush Warbler
2014,0.029422397,0.004603257,Hume's Warbler
2015,0.036178476,0.005605006,Hume's Warbler
2016,0.042388706,0.006495266,Hume's Warbler
2017,0.047350929,0.007198956,Hume's Warbler
2018,0.045917733,0.006985891,Hume's Warbler
2014,NA,NA,Immaculate Cupwing
2015,NA,NA,Immaculate Cupwing
2016,NA,NA,Immaculate Cupwing
2017,NA,NA,Immaculate Cupwing
2018,NA,NA,Immaculate Cupwing
2014,0.03481659,0.011208946,Imperial Eagle
2015,0.026029197,0.008150133,Imperial Eagle
2016,0.028650373,0.008776219,Imperial Eagle
2017,0.032741862,0.009760888,Imperial Eagle
2018,0.041154533,0.012106148,Imperial Eagle
2014,0.017948787,0.003053181,Indian Blackbird
2015,0.01567438,0.002665458,Indian Blackbird
2016,0.019083837,0.003214978,Indian Blackbird
2017,0.021027827,0.003509459,Indian Blackbird
2018,0.023544451,0.003916914,Indian Blackbird
2014,0.009889474,0.003577651,Indian Blue Robin
2015,0.007241877,0.002634289,Indian Blue Robin
2016,0.010660468,0.00382981,Indian Blue Robin
2017,0.012353998,0.004416822,Indian Blue Robin
2018,0.0108178,0.003868204,Indian Blue Robin
2014,0.075940611,0.007218532,Indian Bushlark
2015,0.071949805,0.006744681,Indian Bushlark
2016,0.067444951,0.006328332,Indian Bushlark
2017,0.072808829,0.006723516,Indian Bushlark
2018,0.064420277,0.005931296,Indian Bushlark
2014,NA,NA,Indian Bustard
2015,NA,NA,Indian Bustard
2016,NA,NA,Indian Bustard
2017,NA,NA,Indian Bustard
2018,NA,NA,Indian Bustard
2014,0.089513783,0.008746967,Indian Chat
2015,0.101570488,0.009489369,Indian Chat
2016,0.111083109,0.010133293,Indian Chat
2017,0.12676891,0.011331429,Indian Chat
2018,0.126312644,0.011387815,Indian Chat
2014,0.100947281,0.005579365,Indian Cormorant
2015,0.097066264,0.005289379,Indian Cormorant
2016,0.082489824,0.004475171,Indian Cormorant
2017,0.082001439,0.004428041,Indian Cormorant
2018,0.078334624,0.004257479,Indian Cormorant
2014,0.046078189,0.006303866,Indian Courser
2015,0.033477628,0.004570463,Indian Courser
2016,0.029386251,0.003958272,Indian Courser
2017,0.030309067,0.004079249,Indian Courser
2018,0.028408078,0.003782619,Indian Courser
2014,0.046800837,0.008369476,Indian Cuckoo
2015,0.044131606,0.007757055,Indian Cuckoo
2016,0.031707799,0.005652831,Indian Cuckoo
2017,0.029073997,0.005187585,Indian Cuckoo
2018,0.032759898,0.005817873,Indian Cuckoo
2014,0.104990593,0.005891567,Indian Golden Oriole
2015,0.091832064,0.005179872,Indian Golden Oriole
2016,0.087722543,0.004853253,Indian Golden Oriole
2017,0.097676301,0.005366799,Indian Golden Oriole
2018,0.094051317,0.00517309,Indian Golden Oriole
2014,NA,NA,Indian Grassbird
2015,NA,NA,Indian Grassbird
2016,NA,NA,Indian Grassbird
2017,NA,NA,Indian Grassbird
2018,NA,NA,Indian Grassbird
2014,0.144482019,0.01046308,Indian Gray Hornbill
2015,0.145571291,0.010402949,Indian Gray Hornbill
2016,0.138171046,0.009823677,Indian Gray Hornbill
2017,0.141266288,0.010039118,Indian Gray Hornbill
2018,0.138541796,0.009872195,Indian Gray Hornbill
2014,0.04372884,0.008045001,Indian Nuthatch
2015,0.043295952,0.007825181,Indian Nuthatch
2016,0.033519533,0.006045886,Indian Nuthatch
2017,0.029773617,0.005330925,Indian Nuthatch
2018,0.031917531,0.005709851,Indian Nuthatch
2014,0.079729679,0.005665849,Indian Paradise-Flycatcher
2015,0.073439719,0.005185613,Indian Paradise-Flycatcher
2016,0.07115562,0.004963337,Indian Paradise-Flycatcher
2017,0.074057695,0.00514019,Indian Paradise-Flycatcher
2018,0.077959709,0.005396577,Indian Paradise-Flycatcher
2014,0.18117131,0.01116472,Indian Peafowl
2015,0.176209393,0.010779781,Indian Peafowl
2016,0.186919965,0.011382604,Indian Peafowl
2017,0.215446675,0.01282535,Indian Peafowl
2018,0.220596283,0.013051685,Indian Peafowl
2014,0.047106307,0.007555148,Indian Pitta
2015,0.048875347,0.007773036,Indian Pitta
2016,0.055635494,0.008672884,Indian Pitta
2017,0.051060843,0.007970909,Indian Pitta
2018,0.050762121,0.00792391,Indian Pitta
2014,0.372372949,0.013224845,Indian Pond-Heron
2015,0.353549931,0.01273323,Indian Pond-Heron
2016,0.327761275,0.012071175,Indian Pond-Heron
2017,0.313817294,0.011565535,Indian Pond-Heron
2018,0.326229005,0.011922792,Indian Pond-Heron
2014,0.267412227,0.014153541,Indian Robin
2015,0.236259966,0.012833603,Indian Robin
2016,0.236689239,0.012786821,Indian Robin
2017,0.272507831,0.014273799,Indian Robin
2018,0.251224636,0.013377687,Indian Robin
2014,0.246195475,0.012120515,Indian Roller
2015,0.216896234,0.010756359,Indian Roller
2016,0.203883253,0.010113805,Indian Roller
2017,0.190167204,0.009508566,Indian Roller
2018,0.198605148,0.009828679,Indian Roller
2014,0.032489233,0.004103343,Indian Scimitar-Babbler
2015,0.029637363,0.003696331,Indian Scimitar-Babbler
2016,0.027176593,0.003384418,Indian Scimitar-Babbler
2017,0.031441248,0.003873833,Indian Scimitar-Babbler
2018,0.030891546,0.003822059,Indian Scimitar-Babbler
2014,0.132219416,0.009508166,Indian Silverbill
2015,0.131620572,0.009351971,Indian Silverbill
2016,0.128742451,0.009077848,Indian Silverbill
2017,0.140572146,0.009831137,Indian Silverbill
2018,0.147846635,0.010206916,Indian Silverbill
2014,NA,NA,Indian Skimmer
2015,NA,NA,Indian Skimmer
2016,NA,NA,Indian Skimmer
2017,NA,NA,Indian Skimmer
2018,NA,NA,Indian Skimmer
2014,0.128143219,0.008208095,Indian Spot-billed Duck
2015,0.121588413,0.007798943,Indian Spot-billed Duck
2016,0.119810367,0.007562873,Indian Spot-billed Duck
2017,0.112327394,0.007150502,Indian Spot-billed Duck
2018,0.106348141,0.006794305,Indian Spot-billed Duck
2014,NA,NA,Indian Spotted Creeper
2015,NA,NA,Indian Spotted Creeper
2016,NA,NA,Indian Spotted Creeper
2017,NA,NA,Indian Spotted Creeper
2018,NA,NA,Indian Spotted Creeper
2014,0.014823508,0.001750967,Indian Spotted Eagle
2015,0.014891087,0.001699131,Indian Spotted Eagle
2016,0.012284525,0.001389395,Indian Spotted Eagle
2017,0.012239026,0.001379728,Indian Spotted Eagle
2018,0.012133393,0.001346943,Indian Spotted Eagle
2014,0.011682221,0.002333657,Indian Swiftlet
2015,0.011988682,0.002348962,Indian Swiftlet
2016,0.009601529,0.001890216,Indian Swiftlet
2017,0.010252273,0.002033646,Indian Swiftlet
2018,0.011110863,0.002186402,Indian Swiftlet
2014,0.048277252,0.004943744,Indian Thick-knee
2015,0.038660502,0.003911315,Indian Thick-knee
2016,0.03991785,0.003961608,Indian Thick-knee
2017,0.045510695,0.004500207,Indian Thick-knee
2018,0.040845816,0.004040542,Indian Thick-knee
2014,0.054666475,0.009093782,Indian Vulture
2015,0.052712856,0.008604663,Indian Vulture
2016,0.039690006,0.006507887,Indian Vulture
2017,0.037664001,0.006198094,Indian Vulture
2018,0.033059078,0.00545817,Indian Vulture
2014,0.052346761,0.006301413,Indian Yellow Tit
2015,0.041883645,0.004938051,Indian Yellow Tit
2016,0.043310624,0.005043943,Indian Yellow Tit
2017,0.044452337,0.005155507,Indian Yellow Tit
2018,0.043848665,0.00513747,Indian Yellow Tit
2014,0.158184639,0.006951125,Intermediate Egret
2015,0.134800747,0.005926361,Intermediate Egret
2016,0.117645286,0.005182457,Intermediate Egret
2017,0.116110679,0.005013533,Intermediate Egret
2018,0.113185249,0.004978501,Intermediate Egret
2014,0.035205458,0.013334332,Isabelline Shrike
2015,0.041093263,0.015535319,Isabelline Shrike
2016,0.031608903,0.011964722,Isabelline Shrike
2017,0.036281251,0.013716698,Isabelline Shrike
2018,0.036536934,0.013757742,Isabelline Shrike
2014,0.047835719,0.012247975,Isabelline Wheatear
2015,0.046324332,0.011706731,Isabelline Wheatear
2016,0.054443451,0.013460855,Isabelline Wheatear
2017,0.054794558,0.013412562,Isabelline Wheatear
2018,0.049672122,0.012190799,Isabelline Wheatear
2014,NA,NA,Jerdon's Babbler
2015,NA,NA,Jerdon's Babbler
2016,NA,NA,Jerdon's Babbler
2017,NA,NA,Jerdon's Babbler
2018,NA,NA,Jerdon's Babbler
2014,NA,NA,Jerdon's Baza
2015,NA,NA,Jerdon's Baza
2016,NA,NA,Jerdon's Baza
2017,NA,NA,Jerdon's Baza
2018,NA,NA,Jerdon's Baza
2014,0.029030325,0.004242057,Jerdon's Bushlark
2015,0.027072941,0.003884426,Jerdon's Bushlark
2016,0.026832135,0.00381341,Jerdon's Bushlark
2017,0.031718394,0.004476574,Jerdon's Bushlark
2018,0.026381287,0.003779805,Jerdon's Bushlark
2014,NA,NA,Jerdon's Courser
2015,NA,NA,Jerdon's Courser
2016,NA,NA,Jerdon's Courser
2017,NA,NA,Jerdon's Courser
2018,NA,NA,Jerdon's Courser
2014,0.049419856,0.004716188,Jerdon's Leafbird
2015,0.04834485,0.004598016,Jerdon's Leafbird
2016,0.044961979,0.004290723,Jerdon's Leafbird
2017,0.049951761,0.004727315,Jerdon's Leafbird
2018,0.045329716,0.004283259,Jerdon's Leafbird
2014,0.236128015,0.012907169,Jungle Babbler
2015,0.227222276,0.012460232,Jungle Babbler
2016,0.214676877,0.011860523,Jungle Babbler
2017,0.228606771,0.01256402,Jungle Babbler
2018,0.220936779,0.012101281,Jungle Babbler
2014,0.046229119,0.004770048,Jungle Bush-Quail
2015,0.043154587,0.004402198,Jungle Bush-Quail
2016,0.037034221,0.003746994,Jungle Bush-Quail
2017,0.041412319,0.004155406,Jungle Bush-Quail
2018,0.034330927,0.003407591,Jungle Bush-Quail
2014,0.120105108,0.009553662,Jungle Myna
2015,0.106044952,0.008375325,Jungle Myna
2016,0.09655972,0.007642599,Jungle Myna
2017,0.094194505,0.007468642,Jungle Myna
2018,0.101790508,0.00803032,Jungle Myna
2014,0.056848488,0.005451577,Jungle Owlet
2015,0.052260191,0.004984537,Jungle Owlet
2016,0.05421875,0.005138632,Jungle Owlet
2017,0.056249826,0.005278789,Jungle Owlet
2018,0.063195115,0.005872352,Jungle Owlet
2014,0.047265374,0.004876716,Jungle Prinia
2015,0.037200762,0.003775003,Jungle Prinia
2016,0.040147716,0.004053758,Jungle Prinia
2017,0.054729237,0.00539238,Jungle Prinia
2018,0.042006821,0.004179656,Jungle Prinia
2014,0.048346057,0.007605737,Kalij Pheasant
2015,0.045204014,0.006876109,Kalij Pheasant
2016,0.043047666,0.006507821,Kalij Pheasant
2017,0.052623395,0.00789944,Kalij Pheasant
2018,0.056770626,0.008417065,Kalij Pheasant
2014,NA,NA,Kashmir Flycatcher
2015,NA,NA,Kashmir Flycatcher
2016,NA,NA,Kashmir Flycatcher
2017,NA,NA,Kashmir Flycatcher
2018,NA,NA,Kashmir Flycatcher
2014,NA,NA,Kashmir Nutcracker
2015,NA,NA,Kashmir Nutcracker
2016,NA,NA,Kashmir Nutcracker
2017,NA,NA,Kashmir Nutcracker
2018,NA,NA,Kashmir Nutcracker
2014,NA,NA,Kashmir Nuthatch
2015,NA,NA,Kashmir Nuthatch
2016,NA,NA,Kashmir Nuthatch
2017,NA,NA,Kashmir Nuthatch
2018,NA,NA,Kashmir Nuthatch
2014,0.037092824,0.004591589,Kentish Plover
2015,0.02995522,0.003680931,Kentish Plover
2016,0.033645825,0.004073912,Kentish Plover
2017,0.032763606,0.003989774,Kentish Plover
2018,0.028844612,0.003518223,Kentish Plover
2014,0.064368047,0.006787648,Knob-billed Duck
2015,0.053811591,0.00565224,Knob-billed Duck
2016,0.052259222,0.005394319,Knob-billed Duck
2017,0.054408488,0.005611502,Knob-billed Duck
2018,0.051296906,0.00526522,Knob-billed Duck
2014,NA,NA,Koklass Pheasant
2015,NA,NA,Koklass Pheasant
2016,NA,NA,Koklass Pheasant
2017,NA,NA,Koklass Pheasant
2018,NA,NA,Koklass Pheasant
2014,0.027875095,0.015296111,Laggar Falcon
2015,0.025997021,0.014187603,Laggar Falcon
2016,0.028916184,0.015774974,Laggar Falcon
2017,0.030571539,0.01669983,Laggar Falcon
2018,0.04225477,0.022955221,Laggar Falcon
2014,0.272886874,0.010909107,Large-billed Crow
2015,0.29416382,0.011342487,Large-billed Crow
2016,0.277833097,0.010754993,Large-billed Crow
2017,0.29289444,0.011128154,Large-billed Crow
2018,0.299536875,0.011282646,Large-billed Crow
2014,0.013537185,0.01827951,Large-billed Leaf Warbler
2015,0.009063683,0.012279095,Large-billed Leaf Warbler
2016,0.01029485,0.014023402,Large-billed Leaf Warbler
2017,0.010965461,0.014847459,Large-billed Leaf Warbler
2018,0.010789569,0.014682365,Large-billed Leaf Warbler
2014,NA,NA,Large Blue Flycatcher
2015,NA,NA,Large Blue Flycatcher
2016,NA,NA,Large Blue Flycatcher
2017,NA,NA,Large Blue Flycatcher
2018,NA,NA,Large Blue Flycatcher
2014,0.059310667,0.005054722,Large Cuckooshrike
2015,0.052899369,0.004497779,Large Cuckooshrike
2016,0.049771377,0.004216828,Large Cuckooshrike
2017,0.052494532,0.004404968,Large Cuckooshrike
2018,0.049675632,0.004193082,Large Cuckooshrike
2014,0.125500378,0.010793528,Large Gray Babbler
2015,0.117486725,0.010155802,Large Gray Babbler
2016,0.114128969,0.009902858,Large Gray Babbler
2017,0.120164843,0.010311325,Large Gray Babbler
2018,0.118217273,0.010072668,Large Gray Babbler
2014,0.016178878,0.005882406,Large Hawk-Cuckoo
2015,0.015634198,0.005619152,Large Hawk-Cuckoo
2016,0.013784431,0.004961581,Large Hawk-Cuckoo
2017,0.014343735,0.005154246,Large Hawk-Cuckoo
2018,0.0149647,0.005335227,Large Hawk-Cuckoo
2014,0.046982606,0.021919266,Large Niltava
2015,0.069429972,0.031958026,Large Niltava
2016,0.045942024,0.021030791,Large Niltava
2017,0.04291552,0.019750152,Large Niltava
2018,0.047203937,0.021632508,Large Niltava
2014,0.037918768,0.01156306,Large Woodshrike
2015,0.034399031,0.010453564,Large Woodshrike
2016,0.03462366,0.010477812,Large Woodshrike
2017,0.040166465,0.011954537,Large Woodshrike
2018,0.045384089,0.013496345,Large Woodshrike
2014,0.316735975,0.018651758,Laughing Dove
2015,0.277403872,0.0168208,Laughing Dove
2016,0.28566076,0.017110636,Laughing Dove
2017,0.310243325,0.018109509,Laughing Dove
2018,0.316212835,0.018422461,Laughing Dove
2014,NA,NA,Legge's Hawk-Eagle
2015,NA,NA,Legge's Hawk-Eagle
2016,NA,NA,Legge's Hawk-Eagle
2017,NA,NA,Legge's Hawk-Eagle
2018,NA,NA,Legge's Hawk-Eagle
2014,0.044162911,0.009193193,Lesser Adjutant
2015,0.042440181,0.008807647,Lesser Adjutant
2016,0.043813789,0.009083812,Lesser Adjutant
2017,0.042134494,0.008720903,Lesser Adjutant
2018,0.042739968,0.008839632,Lesser Adjutant
2014,0.012037369,0.003684152,Lesser Black-backed Gull
2015,0.015427876,0.004699105,Lesser Black-backed Gull
2016,0.011857855,0.003618589,Lesser Black-backed Gull
2017,0.014991233,0.004551863,Lesser Black-backed Gull
2018,0.013251907,0.004032405,Lesser Black-backed Gull
2014,0.030719916,0.007768628,Lesser Coucal
2015,0.038499208,0.009656941,Lesser Coucal
2016,0.049306066,0.012120734,Lesser Coucal
2017,0.04508476,0.01118007,Lesser Coucal
2018,0.04758088,0.011743963,Lesser Coucal
2014,0.011346401,0.008434436,Lesser Crested Tern
2015,0.015705329,0.011667905,Lesser Crested Tern
2016,0.014727367,0.010915973,Lesser Crested Tern
2017,0.018557972,0.013736654,Lesser Crested Tern
2018,0.012326888,0.009173894,Lesser Crested Tern
2014,0.052037782,0.026690824,Lesser Cuckoo
2015,0.010678015,0.005600023,Lesser Cuckoo
2016,0.041528071,0.021238311,Lesser Cuckoo
2017,0.025278981,0.012966027,Lesser Cuckoo
2018,0.01710829,0.008752881,Lesser Cuckoo
2014,0.003360525,0.000686823,Lesser Fish-Eagle
2015,0.002976847,0.000596609,Lesser Fish-Eagle
2016,0.002321227,0.000462227,Lesser Fish-Eagle
2017,0.002708638,0.000532648,Lesser Fish-Eagle
2018,0.002476019,0.000484792,Lesser Fish-Eagle
2014,0.05517518,0.020028935,Lesser Flamingo
2015,0.048144295,0.017588136,Lesser Flamingo
2016,0.047128958,0.01701161,Lesser Flamingo
2017,0.01918271,0.007008562,Lesser Flamingo
2018,0.07824218,0.027915764,Lesser Flamingo
2014,NA,NA,Lesser Florican
2015,NA,NA,Lesser Florican
2016,NA,NA,Lesser Florican
2017,NA,NA,Lesser Florican
2018,NA,NA,Lesser Florican
2014,0.035153837,0.02683836,Lesser Necklaced Laughingthrush
2015,0.039317713,0.029992491,Lesser Necklaced Laughingthrush
2016,0.061746474,0.046346295,Lesser Necklaced Laughingthrush
2017,0.042742329,0.032768586,Lesser Necklaced Laughingthrush
2018,0.03895371,0.029494281,Lesser Necklaced Laughingthrush
2014,0.043780207,0.010640224,Lesser Racket-tailed Drongo
2015,0.038075129,0.009114853,Lesser Racket-tailed Drongo
2016,0.035804454,0.008605097,Lesser Racket-tailed Drongo
2017,0.0294241,0.00703595,Lesser Racket-tailed Drongo
2018,0.032218165,0.007679083,Lesser Racket-tailed Drongo
2014,0.042476462,0.008867896,Lesser Sand-Plover
2015,0.040639782,0.008438993,Lesser Sand-Plover
2016,0.033969974,0.007059816,Lesser Sand-Plover
2017,0.034299602,0.007098062,Lesser Sand-Plover
2018,0.0332484,0.0068615,Lesser Sand-Plover
2014,0.101441494,0.142916862,Lesser Shortwing
2015,0.049577775,0.073387707,Lesser Shortwing
2016,0.119192973,0.162156141,Lesser Shortwing
2017,0.073431733,0.106004218,Lesser Shortwing
